spectrum_lambda,seed,method,band,score_error
0.0,42,scalar_gate_s1p5_p4_linear_sigma,0,0.04010178491700385
0.0,42,scalar_gate_s1p5_p4_linear_sigma,1,0.040427423199204005
0.0,42,scalar_gate_s1p5_p4_linear_sigma,2,0.04074244055179663
0.0,42,scalar_gate_s1p5_p4_linear_sigma,3,0.040656817889844446
0.0,42,fourier_gate_s1p5_p4_linear_sigma,0,0.040101777228883605
0.0,42,fourier_gate_s1p5_p4_linear_sigma,1,0.04042741821640001
0.0,42,fourier_gate_s1p5_p4_linear_sigma,2,0.04074243700132374
0.0,42,fourier_gate_s1p5_p4_linear_sigma,3,0.04065681200854224
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,0,0.039472730356675784
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,1,0.03979718671180785
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,2,0.04004516147100859
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,3,0.04007635817691388
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,0,0.039472729586400274
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,1,0.03979718235407165
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,2,0.040045160080661814
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,3,0.0400763571386067
0.0,42,score,0,0.05420611489671375
0.0,42,score,1,0.05418509761916696
0.0,42,score,2,0.053448885224838635
0.0,42,score,3,0.05393047134836055
0.0,42,scalar_gaussian,0,0.14670938278766088
0.0,42,scalar_gaussian,1,0.13690111881475792
0.0,42,scalar_gaussian,2,0.140099413852192
0.0,42,scalar_gaussian,3,0.13690213332210882
0.0,42,fourier_gaussian,0,0.14670969609244705
0.0,42,fourier_gaussian,1,0.1369014579619428
0.0,42,fourier_gaussian,2,0.14009978306693013
0.0,42,fourier_gaussian,3,0.1369025607941791
0.0,42,scalar_normalized,0,0.11702531539110803
0.0,42,scalar_normalized,1,0.11752669113177101
0.0,42,scalar_normalized,2,0.1205094237582268
0.0,42,scalar_normalized,3,0.1169952579921128
0.0,42,fourier_normalized,0,0.11702536424868695
0.0,42,fourier_normalized,1,0.11752674188279741
0.0,42,fourier_normalized,2,0.12050946796714022
0.0,42,fourier_normalized,3,0.11699531396920186
0.0,42,scalar_gate_s1p5_p4,0,0.0392804364042794
0.0,42,scalar_gate_s1p5_p4,1,0.03955051038228118
0.0,42,scalar_gate_s1p5_p4,2,0.0394680548806698
0.0,42,scalar_gate_s1p5_p4,3,0.0397365778401748
0.0,42,fourier_gate_s1p5_p4,0,0.039280425215858575
0.0,42,fourier_gate_s1p5_p4,1,0.03955050183845457
0.0,42,fourier_gate_s1p5_p4,2,0.03946804823903069
0.0,42,fourier_gate_s1p5_p4,3,0.03973657507470137
