spectrum_lambda,method,region,score_error_mean,score_error_sd,n_seeds
0.0,score,low,0.01455215839124136,6.0652584863227904e-05,3
0.0,score,middle,0.05982973580025697,0.0002951454403198284,3
0.0,score,high,0.08722063771145616,0.0004932696384617242,3
0.0,scalar_gaussian,low,0.06483888751719215,0.002363342090140612,3
0.0,scalar_gaussian,middle,0.22048446679376965,0.009008205846593748,3
0.0,scalar_gaussian,high,0.11621714366006464,0.003927526249367745,3
0.0,fourier_gaussian,low,0.06483913860621675,0.002363380710834923,3
0.0,fourier_gaussian,middle,0.22048514910342132,0.009008382441731464,3
0.0,fourier_gaussian,high,0.11621728935825087,0.0039276279154009585,3
0.0,scalar_normalized,low,0.06143366445965558,0.003284309402034023,3
0.0,scalar_normalized,middle,0.20634389633221126,0.009527544973812453,3
0.0,scalar_normalized,high,0.10928924799467615,0.004732427911427837,3
0.0,fourier_normalized,low,0.06143368354561807,0.0032843121936053004,3
0.0,fourier_normalized,middle,0.20634395212664625,0.00952755221625442,3
0.0,fourier_normalized,high,0.1092892858565838,0.004732402314307053,3
0.0,scalar_gate_s1p5_p4,low,0.009651080472699984,8.938898542174936e-05,3
0.0,scalar_gate_s1p5_p4,middle,0.0454697506419287,9.749456995397182e-05,3
0.0,scalar_gate_s1p5_p4,high,0.06304748437912197,0.00023917630167887824,3
0.0,fourier_gate_s1p5_p4,low,0.00965108029087717,8.938926118621614e-05,3
0.0,fourier_gate_s1p5_p4,middle,0.04546974967116768,9.749091222199213e-05,3
0.0,fourier_gate_s1p5_p4,high,0.06304748307561166,0.00023916819918726092,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.015686440531918047,0.0006387076560037032,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.061576633285899796,0.001481220279194235,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.10677021092819067,0.0006719578074286729,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01568644054730597,0.0006387094191246095,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.061576623945323546,0.0014812237494571045,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.1067701970387121,0.0006719569683095294,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.009668980421720897,4.20210448728388e-05,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.04503586896061362,5.005946073911367e-05,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06762648720835573,0.00016382919730533154,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.009668981852697696,4.202031889178856e-05,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.04503586932137036,5.005815156015975e-05,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06762648458695998,0.0001638296945166949,3
0.0,scalar_gate_s1p5_p4_linear_sigma,low,0.009881815557464644,0.0002796174127136464,3
0.0,scalar_gate_s1p5_p4_linear_sigma,middle,0.045499207372763466,0.0006765572362763111,3
0.0,scalar_gate_s1p5_p4_linear_sigma,high,0.06600063220834955,0.00046476215064878074,3
0.0,fourier_gate_s1p5_p4_linear_sigma,low,0.009881815001062173,0.0002796161728444428,3
0.0,fourier_gate_s1p5_p4_linear_sigma,middle,0.04549920733545521,0.0006765554246249729,3
0.0,fourier_gate_s1p5_p4_linear_sigma,high,0.0660006307306149,0.00046476036376097456,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,low,0.009666496284738639,0.00013139981885328775,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,middle,0.04625544220141559,7.769974823365036e-05,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,high,0.06372821970658667,0.0001337072675085083,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,low,0.00966649569103227,0.00013139890268202162,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,middle,0.04625544248371808,7.770356127024588e-05,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,high,0.0637282199400216,0.00013370927810339768,3
0.5,score,low,0.02073019949267989,0.0004250060295622705,3
0.5,score,middle,0.06486590722485845,0.0008875465880542426,3
0.5,score,high,0.0913118917028944,0.0013936052384922253,3
0.5,scalar_gaussian,low,0.04568944953081224,0.0020765332840391956,3
0.5,scalar_gaussian,middle,0.13168493347732127,0.005771636622609279,3
0.5,scalar_gaussian,high,0.0799613287117452,0.0020442655738737627,3
0.5,fourier_gaussian,low,0.07490419880854378,0.0019067332675345523,3
0.5,fourier_gaussian,middle,0.21237071977469632,0.0060404528253008676,3
0.5,fourier_gaussian,high,0.09889859507212388,0.0025440746541390536,3
0.5,scalar_normalized,low,0.05330899914688122,0.0010921063395571767,3
0.5,scalar_normalized,middle,0.14612952297167192,0.0035036016461805755,3
0.5,scalar_normalized,high,0.07749080595771703,0.0012296906511575579,3
0.5,fourier_normalized,low,0.07023517385596877,0.0029767729193714465,3
0.5,fourier_normalized,middle,0.19656630974955955,0.006396627542741722,3
0.5,fourier_normalized,high,0.09242455937667375,0.002481633175107602,3
0.5,scalar_gate_s1p5_p4,low,0.013604848446138912,0.00024054473334347975,3
0.5,scalar_gate_s1p5_p4,middle,0.05051148639321568,0.0003512915489708812,3
0.5,scalar_gate_s1p5_p4,high,0.06340276493410398,0.0006046211684057792,3
0.5,fourier_gate_s1p5_p4,low,0.014087283947320459,0.0003005232778281081,3
0.5,fourier_gate_s1p5_p4,middle,0.05082138623775204,0.0005223812902323793,3
0.5,fourier_gate_s1p5_p4,high,0.06225476752117804,0.00037641132713889925,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01737436158475921,0.0006440133107766522,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06466625195810662,0.0017816634262846048,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.08620174626564082,0.0007005101775707542,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01734747072294464,0.0003971499264398769,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06464790429103462,0.0015422724862051934,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.09668516698160497,0.0002158611307399726,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.013265963605377457,0.0002649320789288892,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.04988017681768087,0.0003156260715119095,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06591572812025757,0.00030521160007149,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.013985966057002612,0.00023231504767406365,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.05043283986347239,0.0005680532578590379,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06597620309542951,0.00047774663479848025,3
0.5,scalar_gate_s1p5_p4_linear_sigma,low,0.013480296964825401,0.0001531004563033035,3
0.5,scalar_gate_s1p5_p4_linear_sigma,middle,0.04972503726311552,0.00018309066358007938,3
0.5,scalar_gate_s1p5_p4_linear_sigma,high,0.06523045015985678,0.0003068881445538311,3
0.5,fourier_gate_s1p5_p4_linear_sigma,low,0.013822776330329583,0.0003537371130937814,3
0.5,fourier_gate_s1p5_p4_linear_sigma,middle,0.0501309441688025,0.0006588775282989896,3
0.5,fourier_gate_s1p5_p4_linear_sigma,high,0.06461373607101366,0.00047927570687082547,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,low,0.013264431612921864,0.0001175942091889598,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,middle,0.05059780547064386,0.0001928787456483474,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,high,0.06349565131278656,0.00032046893114364767,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,low,0.013764462490946408,0.0002862739845640154,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,middle,0.051208025158318037,0.0004707834435680686,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,high,0.0626840925582094,0.0004151432415619682,3
1.0,score,low,0.04902974333229354,0.0015386536227118333,3
1.0,score,middle,0.09013491249152088,0.0010630434798376887,3
1.0,score,high,0.09489739797201881,0.0007912954588819059,3
1.0,scalar_gaussian,low,0.044386636550476456,0.001321122269819692,3
1.0,scalar_gaussian,middle,0.10818333387454059,0.0013650262035777244,3
1.0,scalar_gaussian,high,0.07218537039423431,0.00042238335698283774,3
1.0,fourier_gaussian,low,0.11679565027227734,0.005047163740820338,3
1.0,fourier_gaussian,middle,0.1960419456501065,0.011391131195463432,3
1.0,fourier_gaussian,high,0.07107963142674593,0.0034846621954592732,3
1.0,scalar_normalized,low,0.05749962854334567,0.0020163434126755845,3
1.0,scalar_normalized,middle,0.11505979799120236,0.0029803507336637627,3
1.0,scalar_normalized,high,0.06421043602659306,0.0006325328141439561,3
1.0,fourier_normalized,low,0.07813291395474357,0.0033872276802553304,3
1.0,fourier_normalized,middle,0.1271774458271294,0.006673236898564672,3
1.0,fourier_normalized,high,0.04998167986084784,0.0019135647948601957,3
1.0,scalar_gate_s1p5_p4,low,0.03511491580857754,0.0007739156238708299,3
1.0,scalar_gate_s1p5_p4,middle,0.07382249657591354,0.0004819332236708438,3
1.0,scalar_gate_s1p5_p4,high,0.06676639171507746,0.000424514685364797,3
1.0,fourier_gate_s1p5_p4,low,0.03433404449099864,0.0010066300257529394,3
1.0,fourier_gate_s1p5_p4,middle,0.07237018610271034,0.0007792104815061873,3
1.0,fourier_gate_s1p5_p4,high,0.06005937242186741,0.0003569028535440056,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.04153045051971763,0.001642058637313645,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.09607385285227828,0.002616942519988228,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.06990982057514723,0.00034122505939714184,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.028893558649598593,0.0002849709784987761,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.08269722140179923,0.0005183903229130465,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.07535003840316683,0.0002773793504909636,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.03356835306024183,0.0009419074255197287,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.0735268229058793,0.0007502308735296081,3
