spectrum_lambda,seed,method,region,n,score_error
0.0,42,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.01002151933083104
0.0,42,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.04561926746786704
0.0,42,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06616399611733169
0.0,42,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.010021516384693825
0.0,42,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.04561926086410037
0.0,42,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.06616399198848887
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.009810810038645907
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.04617104181327147
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.06384664905958987
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.009810808992215425
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.046171038943005595
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.06384664687354973
0.0,42,score,low,6144,0.014597769874313516
0.0,42,score,middle,6144,0.060011749675211175
0.0,42,score,high,6144,0.08666994027094399
0.0,42,scalar_gaussian,low,6144,0.06744123625290639
0.0,42,scalar_gaussian,middle,6144,0.23053713204644732
0.0,42,scalar_gaussian,high,6144,0.12012151072476838
0.0,42,fourier_gaussian,low,6144,0.06744143329309632
0.0,42,fourier_gaussian,middle,6144,0.23053781791487804
0.0,42,fourier_gaussian,high,6144,0.12012172438311419
0.0,42,scalar_normalized,low,6144,0.057652365942729294
0.0,42,scalar_normalized,middle,6144,0.1953736674808988
0.0,42,scalar_normalized,high,6144,0.10396606180008765
0.0,42,fourier_normalized,low,6144,0.057652383586805044
0.0,42,fourier_normalized,middle,6144,0.19537371959268182
0.0,42,fourier_normalized,high,6144,0.10396613563178397
0.0,42,scalar_gate_s1p5_p4,low,6144,0.00968958237601577
0.0,42,scalar_gate_s1p5_p4,middle,6144,0.045533477784703624
0.0,42,scalar_gate_s1p5_p4,high,6144,0.0633122561506357
0.0,42,fourier_gate_s1p5_p4,low,6144,0.00968957903259178
0.0,42,fourier_gate_s1p5_p4,middle,6144,0.045533470315392656
0.0,42,fourier_gate_s1p5_p4,high,6144,0.06331224618141815
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014952055972331244
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.059874636391604515
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10753359749078889
