spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.0,scalar_gate_s1p5_p4_linear_sigma,score,-0.013406958921458939,0.00045246955075749467,-24.888766463467448,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gaussian,-0.09338628094414962,0.005121627730647096,-69.77100547717703,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gaussian,-0.09338664064310376,0.00512177816077095,-69.77108671412735,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,scalar_normalized,-0.08522838454932179,0.006024847913589992,-67.80897912250568,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_normalized,-0.08522842213009015,0.0060248451391672585,-67.80898874756079,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4,0.0010711132149423287,0.0004864685932580813,2.7192903879525554,0,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4,0.0010711140336403847,0.00048647010769867525,2.7192925229432507,0,3
0.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.02088387653581028,0.0007502490214605896,-34.0436403631543,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.020883868797587996,0.00075025029534263,-34.043632043164195,3,3
0.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.00031656048403753506,0.0004890830054393692,-0.7763190353181071,2,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.00031656020748346603,0.0004890817356212587,-0.7763183623741288,2,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_linear_sigma,6.904817805482762e-10,3.450665374564351e-09,1.7065555635298324e-06,2,3
0.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_tanh_sigma,0.000577165648612254,0.00043634176345731324,1.4471330184516296,0,3
0.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_tanh_sigma,0.0005771656746019019,0.00043633840458696157,1.4471330845587493,0,3
0.0,fourier_gate_s1p5_p4_linear_sigma,score,-0.013406959611940718,0.00045246723057958154,-24.888767745282358,3,3
0.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gaussian,-0.0933862816346314,0.0051216304354527375,-69.77100599305162,3,3
