spectrum_lambda,method,n_seeds,score_error_mean,score_error_sd,unweighted_score_error_mean,unweighted_score_error_sd
0.0,score,3,0.05386751063431816,0.00010905969867046098,0.21746270673970647,0.0010463751417855323
0.0,scalar_gaussian,3,0.13384683265700884,0.005065117380191001,0.9027792528359045,0.03417429484964011
0.0,fourier_gaussian,3,0.13384719235596299,0.005065238136131845,0.902782577494801,0.034175031026670674
0.0,scalar_normalized,3,0.125688936262181,0.0058347473114490405,0.8547031641945195,0.04354581202575958
0.0,fourier_normalized,3,0.12568897384294936,0.005834742161803811,0.8547034566938364,0.043545841359662246
0.0,scalar_gate_s1p5_p4,3,0.03938943849791689,0.00011060245993734516,0.15378445533589347,0.0004948363685967591
0.0,fourier_gate_s1p5_p4,3,0.03938943767921883,0.00011059777707296412,0.15378445710003155,0.0004948011993419778
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.0613444282486695,0.0004830749156778501,0.252406251872804,0.010833466339897492
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.061344420510447216,0.0004830770319215222,0.2524062488293428,0.010833491669149582
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04077711219689675,6.780567413280116e-05,0.1558710952974766,0.0005157609114563069
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04077711192034269,6.780401659030461e-05,0.15587111433800202,0.0005157462364215786
0.0,scalar_gate_s1p5_p4_linear_sigma,3,0.04046055171285922,0.0004705669360252288,0.15705165319724848,0.004144429886368778
0.0,fourier_gate_s1p5_p4_linear_sigma,3,0.04046055102237744,0.0004705652701296121,0.1570516478843992,0.004144414508215111
0.0,scalar_gate_s1p5_p4_tanh_sigma,3,0.03988338606424697,5.6741513483335676e-05,0.15523234006302833,0.0013521539861711084
0.0,fourier_gate_s1p5_p4_tanh_sigma,3,0.039883386038257314,5.6741486652907796e-05,0.1552323285406155,0.0013521519450489607
0.5,score,3,0.05896933280681091,0.0007436628596602168,0.2935610101894159,0.005792623425445731
0.5,scalar_gaussian,3,0.08577857057329291,0.0032908092125244225,0.625925556881309,0.02762662704662277
0.5,fourier_gaussian,3,0.128724504551788,0.0034749624210020963,1.0081991899422176,0.026661376748760835
0.5,scalar_normalized,3,0.09230977602542338,0.001877521001510027,0.7230014302002461,0.014974257622587053
0.5,fourier_normalized,3,0.11974201432740067,0.003931372380450947,0.9450652025611951,0.03665811833803432
0.5,scalar_gate_s1p5_p4,3,0.04250636659115286,0.00037053527107978727,0.20173493917734794,0.0034573236752797206
0.5,fourier_gate_s1p5_p4,3,0.04238781256875018,0.00036841887498091766,0.20701662850801728,0.003999066598585915
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05608078660283555,0.0008805511624486644,0.26684174636597574,0.00885803072848427
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05956018066519473,0.000630660494375312,0.2708225648724667,0.006098026068683393
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04302062284777197,0.00028695952106863446,0.199955479728919,0.003388687651035035
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.043465003005301504,0.00038443827341459643,0.208556342919883,0.0030049771665181316
0.5,scalar_gate_s1p5_p4_linear_sigma,3,0.042811928129265896,0.00019332816479954718,0.20031490185517342,0.0017680588732461309
0.5,fourier_gate_s1p5_p4_linear_sigma,3,0.04285581885671525,0.00048783684154551357,0.20435604608379046,0.004207451205009991
0.5,scalar_gate_s1p5_p4_tanh_sigma,3,0.04245262946545076,0.00015073131394876388,0.1986351135341825,0.001430581790165338
0.5,fourier_gate_s1p5_p4_tanh_sigma,3,0.04255219340249128,0.0003820887083337882,0.20461627760079484,0.0032812640492524887
1.0,score,3,0.07802068459861107,0.0010583623866769326,0.6723377573426079,0.01884245577918839
1.0,scalar_gaussian,3,0.07491844693975046,0.000905642623127602,0.6199512519824562,0.01480999297509815
1.0,fourier_gaussian,3,0.12797240911637658,0.006626925469131649,1.5031084793782485,0.06353151823839949
1.0,scalar_normalized,3,0.07892328752038037,0.001799380107913963,0.7829171518741704,0.0231527365915661
1.0,fourier_normalized,3,0.0850973465475736,0.003982893673451861,1.0154920110011336,0.04195011159111709
1.0,scalar_gate_s1p5_p4,3,0.05856793469985619,0.0005559802536198161,0.4889333899013549,0.00971721301178129
1.0,fourier_gate_s1p5_p4,3,0.0555878676718588,0.0007075921767490872,0.4785710742657637,0.013160446214800286
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06917137464904773,0.0015073081666881845,0.5861327706824729,0.01985421068976484
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06231360615152156,0.0002757627299689261,0.4255156385998333,0.003726438069272369
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.05800434612764952,0.0007335919036918156,0.4716196342598382,0.012334398818061004
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.05337385550523387,0.0005231731308400751,0.4334914630862772,0.00965333277728665
1.0,scalar_gate_s1p5_p4_linear_sigma,3,0.05799790005624358,0.0005779460876401944,0.46600565915204534,0.007717807394084976
1.0,fourier_gate_s1p5_p4_linear_sigma,3,0.05432487129829333,0.0005256518576494424,0.43975140792869305,0.008844727515008232
1.0,scalar_gate_s1p5_p4_tanh_sigma,3,0.058269357026658725,0.000591630970720937,0.47080770904629077,0.00862903745589933
1.0,fourier_gate_s1p5_p4_tanh_sigma,3,0.05429111352512714,0.0005770041025243888,0.447931010152901,0.010788818733413221
