spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,42,scalar_gate_s1p5_p4_linear_sigma,0,0.5,1024,0.06293880300962519,0.25175521203850076,0.25451124087094984,0.24729282209400869,0.44536710619727193,0.0707110382578946,0.0884783442134357,0.05682133218097448,0.03632771108427061
1.0,42,scalar_gate_s1p5_p4_linear_sigma,1,0.625,1024,0.07609524052447217,0.19480381574264874,0.245662157011717,0.3097556475531669,0.37902664874675185,0.10944883106168275,0.11341515249214844,0.06286041535871072,0.04121718624302954
1.0,42,scalar_gate_s1p5_p4_linear_sigma,2,0.75,1024,0.08886497838357438,0.15798218379302112,0.2272133861828322,0.3911080235038055,0.33140237403049905,0.15122744826801737,0.13542861853471794,0.0685996094948214,0.04799741731436219
1.0,42,scalar_gate_s1p5_p4_linear_sigma,3,0.800000011920929,1024,0.09359183539663178,0.1462372384490278,0.22092399094548656,0.4236381707395724,0.32174337628890304,0.16609184053105858,0.14782403507493272,0.06973800666113984,0.04701571945016254
1.0,42,scalar_gate_s1p5_p4_linear_sigma,4,0.875,1024,0.09884728202249474,0.1291066540701972,0.20802849885256244,0.47516221367607664,0.2997604420813877,0.18521898408918486,0.15450888915116023,0.07304453302665267,0.04938608662988716
1.0,42,scalar_gate_s1p5_p4_linear_sigma,5,1.0,1024,0.10575598549402983,0.10575598549402983,0.18866346927700323,0.5605535925916568,0.27664068671588304,0.21068202476100875,0.16829702115027256,0.07578511671901218,0.049502960106898905
1.0,42,scalar_gate_s1p5_p4_linear_sigma,6,1.125,1024,0.10758040085420721,0.08500179820579336,0.16656224675733286,0.6458870659384343,0.26029799965751327,0.2222880616944103,0.17273552668069964,0.07530230727086215,0.04996205245518934
1.0,42,scalar_gate_s1p5_p4_linear_sigma,7,1.25,1024,0.10389609392985732,0.06649350011510868,0.14418740701494248,0.7205628846567046,0.23941291074222282,0.22558087891219142,0.16310266876544643,0.07268946404332931,0.04892901546995245
1.0,42,scalar_gate_s1p5_p4_linear_sigma,8,1.375,1024,0.0958781433619151,0.0507124064063022,0.12185080469494965,0.7868486679422722,0.22852841946241464,0.22498346435610478,0.1511797148033724,0.06477982768199651,0.04332158614891141
1.0,42,scalar_gate_s1p5_p4_linear_sigma,9,1.5,1024,0.0879415160859077,0.03908511826040342,0.10209634070744247,0.8613581591323093,0.21654337600589174,0.20732974014236336,0.137826786614749,0.05944642310537239,0.040577928596403315
1.0,42,scalar_gate_s1p5_p4_linear_sigma,10,1.625,1024,0.07702655479504886,0.02916981956735578,0.08421561102624589,0.9146351116664515,0.1989585154547987,0.20118460272771438,0.11682804595723903,0.051109138934014205,0.03520189268580531
1.0,42,scalar_gate_s1p5_p4_linear_sigma,11,1.75,1024,0.0670264129089973,0.02188617564375422,0.06931799879163486,0.966940968830824,0.18539341104987353,0.1904360025762931,0.09923395519883885,0.04357353971099197,0.02980741999324598
1.0,42,scalar_gate_s1p5_p4_linear_sigma,12,1.875,1024,0.05532905605583271,0.01573804261143686,0.05343565402748417,1.0354333087674885,0.17177544522216687,0.1683360044651642,0.08076100061105354,0.03510371008703034,0.023741934723509352
1.0,42,scalar_gate_s1p5_p4_linear_sigma,13,2.0,1024,0.04741137944086701,0.011852844860216753,0.04298544785916096,1.1029634865317055,0.16134820872940409,0.17141040983547817,0.06858665739010032,0.027089482341856583,0.01764970190815212
1.0,42,scalar_gate_s1p5_p4_linear_sigma,14,2.125,1024,0.04175769233824426,0.009247378234074854,0.03455925081612765,1.2082927538104309,0.15117983018659933,0.17269294287006223,0.06074845354131922,0.021110030062418315,0.013256812945999044
1.0,42,scalar_gate_s1p5_p4_linear_sigma,15,2.25,1024,0.03946116577809661,0.007794798178389454,0.027392517260649743,1.440581944426987,0.14488405357170459,0.19908379728545386,0.05765111570633041,0.015448688197507936,0.009158041483817478
1.0,42,scalar_gate_s1p5_p4_linear_sigma,16,2.375,1024,0.03272587542397008,0.005801817249678907,0.022049406552376714,1.4842066314225835,0.13277904218793124,0.1682497522144319,0.04612606982198894,0.013040225892520015,0.007980274284935822
1.0,42,scalar_gate_s1p5_p4_linear_sigma,17,2.5,1024,0.025955938936181804,0.004152950229789089,0.01654586800333205,1.5687263388632573,0.12201704160264659,0.13399871506878333,0.03598204667586534,0.01041968242622944,0.006800507474008072
