spectrum_lambda,seed,method,band,score_error
0.0,42,score,0,0.05315345929786372
0.0,42,score,1,0.05342750839529357
0.0,42,score,2,0.052787080167410856
0.0,42,score,3,0.05333901375766115
0.0,42,scalar_gaussian,0,0.14475991835298355
0.0,42,scalar_gaussian,1,0.1358766804869156
0.0,42,scalar_gaussian,2,0.13953627830003915
0.0,42,scalar_gaussian,3,0.13541059332287497
0.0,42,fourier_gaussian,0,0.1447602535653393
0.0,42,fourier_gaussian,1,0.13587701937919097
0.0,42,fourier_gaussian,2,0.13953663932781576
0.0,42,fourier_gaussian,3,0.13541102983402253
0.0,42,scalar_normalized,0,0.11569313175649541
0.0,42,scalar_normalized,1,0.11717930637925648
0.0,42,scalar_normalized,2,0.1200456428796644
0.0,42,scalar_normalized,3,0.11590068143497675
0.0,42,fourier_normalized,0,0.11569317323181287
0.0,42,fourier_normalized,1,0.11717934943781122
0.0,42,fourier_normalized,2,0.12004568726245059
0.0,42,fourier_normalized,3,0.11590074043760795
0.0,42,scalar_gate_s1p5_p4,0,0.03831199291381937
0.0,42,scalar_gate_s1p5_p4,1,0.03913157340176556
0.0,42,scalar_gate_s1p5_p4,2,0.039084674562711384
0.0,42,scalar_gate_s1p5_p4,3,0.039373152742352376
0.0,42,fourier_gate_s1p5_p4,0,0.03831198301315439
0.0,42,fourier_gate_s1p5_p4,1,0.03913156909613985
0.0,42,fourier_gate_s1p5_p4,2,0.039084668251874545
0.0,42,fourier_gate_s1p5_p4,3,0.03937315008598803
0.0,43,score,0,0.05317467389944116
0.0,43,score,1,0.05315685403237265
0.0,43,score,2,0.05362375987883525
0.0,43,score,3,0.05295876236576712
0.0,43,scalar_gaussian,0,0.12173505295330161
0.0,43,scalar_gaussian,1,0.12522621918418408
0.0,43,scalar_gaussian,2,0.1303528419333895
0.0,43,scalar_gaussian,3,0.12960244089055822
0.0,43,fourier_gaussian,0,0.12173506735084816
0.0,43,fourier_gaussian,1,0.12522621815700954
0.0,43,fourier_gaussian,2,0.13035284841447242
0.0,43,fourier_gaussian,3,0.12960244362700607
0.0,43,scalar_normalized,0,0.1188369791303448
0.0,43,scalar_normalized,1,0.12806229268251143
0.0,43,scalar_normalized,2,0.12978969652649378
0.0,43,scalar_normalized,3,0.1270991848128429
0.0,43,fourier_normalized,0,0.11883699200465227
0.0,43,fourier_normalized,1,0.12806229352930779
0.0,43,fourier_normalized,2,0.12978969825990255
0.0,43,fourier_normalized,3,0.1270991936452389
0.0,43,scalar_gate_s1p5_p4,0,0.038243559866944415
0.0,43,scalar_gate_s1p5_p4,1,0.03890008384202466
0.0,43,scalar_gate_s1p5_p4,2,0.0391594213692382
0.0,43,scalar_gate_s1p5_p4,3,0.03852880623965142
0.0,43,fourier_gate_s1p5_p4,0,0.038243561324443516
0.0,43,fourier_gate_s1p5_p4,1,0.03890008411633362
0.0,43,fourier_gate_s1p5_p4,2,0.03915942182962944
0.0,43,fourier_gate_s1p5_p4,3,0.03852880329546991
0.0,44,score,0,0.053893365157186617
0.0,44,score,1,0.05300006846684632
0.0,44,score,2,0.05354200383160498
0.0,44,score,3,0.05340996403933761
0.0,44,scalar_gaussian,0,0.12784872142397974
0.0,44,scalar_gaussian,1,0.13448855956962025
0.0,44,scalar_gaussian,2,0.1322109735629648
0.0,44,scalar_gaussian,3,0.131332692087789
0.0,44,fourier_gaussian,0,0.12784916359589943
0.0,44,fourier_gaussian,1,0.13448950837509988
0.0,44,fourier_gaussian,2,0.132211576755451
0.0,44,fourier_gaussian,3,0.13133360348944112
0.0,44,scalar_normalized,0,0.12554040718006532
0.0,44,scalar_normalized,1,0.13388350824221767
0.0,44,scalar_normalized,2,0.1279479736917896
0.0,44,scalar_normalized,3,0.12728422340537676
0.0,44,fourier_normalized,0,0.1255405124312782
0.0,44,fourier_normalized,1,0.13388358362437022
0.0,44,fourier_normalized,2,0.12794802603343292
0.0,44,fourier_normalized,3,0.12728426720275166
0.0,44,scalar_gate_s1p5_p4,0,0.0391052583369939
0.0,44,scalar_gate_s1p5_p4,1,0.03904553799909224
0.0,44,scalar_gate_s1p5_p4,2,0.039172061677351454
0.0,44,scalar_gate_s1p5_p4,3,0.03898986940572701
0.0,44,fourier_gate_s1p5_p4,0,0.039105269759796946
0.0,44,fourier_gate_s1p5_p4,1,0.03904553541122071
0.0,44,fourier_gate_s1p5_p4,2,0.03917206806875338
0.0,44,fourier_gate_s1p5_p4,3,0.038989876742061516
0.5,42,score,0,0.08534198848226675
0.5,42,score,1,0.063060915016148
0.5,42,score,2,0.05459922211983296
0.5,42,score,3,0.053805940461385024
0.5,42,scalar_gaussian,0,0.06974869868360949
0.5,42,scalar_gaussian,1,0.0849403750358883
0.5,42,scalar_gaussian,2,0.08500618376071561
0.5,42,scalar_gaussian,3,0.08105806461323416
0.5,42,fourier_gaussian,0,0.1044767835162817
0.5,42,fourier_gaussian,1,0.12292841741721444
0.5,42,fourier_gaussian,2,0.13185860012942913
0.5,42,fourier_gaussian,3,0.12330847082668295
0.5,42,scalar_normalized,0,0.0654045731610966
0.5,42,scalar_normalized,1,0.08909156847594545
0.5,42,scalar_normalized,2,0.09632776054201748
0.5,42,scalar_normalized,3,0.0890456012792765
0.5,42,fourier_normalized,0,0.10008557986436496
0.5,42,fourier_normalized,1,0.12296267515811848
0.5,42,fourier_normalized,2,0.12647419300164717
0.5,42,fourier_normalized,3,0.11951183006345335
0.5,42,scalar_gate_s1p5_p4,0,0.0753763676570758
0.5,42,scalar_gate_s1p5_p4,1,0.048755182888226334
0.5,42,scalar_gate_s1p5_p4,2,0.037908347793306166
0.5,42,scalar_gate_s1p5_p4,3,0.036468832764271125
0.5,42,fourier_gate_s1p5_p4,0,0.07495838634339744
0.5,42,fourier_gate_s1p5_p4,1,0.048530813992401396
0.5,42,fourier_gate_s1p5_p4,2,0.03752349766945435
0.5,42,fourier_gate_s1p5_p4,3,0.03586334636550878
0.5,43,score,0,0.08786663617176277
0.5,43,score,1,0.06351361830047586
0.5,43,score,2,0.05600924668439073
0.5,43,score,3,0.0545941346519894
0.5,43,scalar_gaussian,0,0.07172077900738864
0.5,43,scalar_gaussian,1,0.08578850557838186
0.5,43,scalar_gaussian,2,0.08926395217933919
0.5,43,scalar_gaussian,3,0.08304883628598972
0.5,43,fourier_gaussian,0,0.10272278947287466
0.5,43,fourier_gaussian,1,0.12264865093686923
0.5,43,fourier_gaussian,2,0.13348310375809466
0.5,43,fourier_gaussian,3,0.13406579400288415
0.5,43,scalar_normalized,0,0.06873519873109926
0.5,43,scalar_normalized,1,0.09201143718006398
0.5,43,scalar_normalized,2,0.09816130825820459
0.5,43,scalar_normalized,3,0.08921467713589887
0.5,43,fourier_normalized,0,0.09404003705588684
0.5,43,fourier_normalized,1,0.11435239656929709
0.5,43,fourier_normalized,2,0.11817681344748371
0.5,43,fourier_normalized,3,0.1160579985440213
0.5,43,scalar_gate_s1p5_p4,0,0.07295216417733347
0.5,43,scalar_gate_s1p5_p4,1,0.04840176172779334
0.5,43,scalar_gate_s1p5_p4,2,0.037692000667561704
0.5,43,scalar_gate_s1p5_p4,3,0.036550190789799514
0.5,43,fourier_gate_s1p5_p4,0,0.07455567068825213
0.5,43,fourier_gate_s1p5_p4,1,0.04863357585602609
0.5,43,fourier_gate_s1p5_p4,2,0.03782427282466196
0.5,43,fourier_gate_s1p5_p4,3,0.03616104905623229
0.5,44,score,0,0.08828213420284516
0.5,44,score,1,0.063072682084097
0.5,44,score,2,0.05535069818224174
0.5,44,score,3,0.05389186886962343
0.5,44,scalar_gaussian,0,0.07068410329100504
0.5,44,scalar_gaussian,1,0.09374771927816995
0.5,44,scalar_gaussian,2,0.09060366521906524
0.5,44,scalar_gaussian,3,0.08729769376595642
0.5,44,fourier_gaussian,0,0.1067930198897696
0.5,44,fourier_gaussian,1,0.13357565142193734
0.5,44,fourier_gaussian,2,0.13662180506333763
0.5,44,fourier_gaussian,3,0.1333944189243942
0.5,44,scalar_normalized,0,0.06832059897883103
0.5,44,scalar_normalized,1,0.09504273005921522
0.5,44,scalar_normalized,2,0.09870821799599043
0.5,44,scalar_normalized,3,0.09406222883942911
0.5,44,fourier_normalized,0,0.0995183176611205
0.5,44,fourier_normalized,1,0.1217801962295697
0.5,44,fourier_normalized,2,0.1275987821296718
0.5,44,fourier_normalized,3,0.12458234276280868
0.5,44,scalar_gate_s1p5_p4,0,0.07353151406494475
0.5,44,scalar_gate_s1p5_p4,1,0.04811902087418423
0.5,44,scalar_gate_s1p5_p4,2,0.037129872312609856
0.5,44,scalar_gate_s1p5_p4,3,0.03588448256087517
0.5,44,fourier_gate_s1p5_p4,0,0.07385134463426112
0.5,44,fourier_gate_s1p5_p4,1,0.04830277321632175
0.5,44,fourier_gate_s1p5_p4,2,0.03693969156643738
0.5,44,fourier_gate_s1p5_p4,3,0.03538774366292623
1.0,42,score,0,0.09264073824193403
1.0,42,score,1,0.0906374138878368
1.0,42,score,2,0.07160861423248027
1.0,42,score,3,0.06819483374052239
1.0,42,scalar_gaussian,0,0.08048314125520538
1.0,42,scalar_gaussian,1,0.09758397810113568
1.0,42,scalar_gaussian,2,0.06826043204088278
1.0,42,scalar_gaussian,3,0.053152999042590215
1.0,42,fourier_gaussian,0,0.0911853907797104
1.0,42,fourier_gaussian,1,0.1347114750301148
1.0,42,fourier_gaussian,2,0.14256296888994788
1.0,42,fourier_gaussian,3,0.12696131692588628
1.0,42,scalar_normalized,0,0.07202097876745012
1.0,42,scalar_normalized,1,0.0992878738478934
1.0,42,scalar_normalized,2,0.07660020286146318
1.0,42,scalar_normalized,3,0.061010686794171064
1.0,42,fourier_normalized,0,0.06512796708556748
1.0,42,fourier_normalized,1,0.08660775420424588
1.0,42,fourier_normalized,2,0.08347738746274967
1.0,42,fourier_normalized,3,0.06657817298944702
1.0,42,scalar_gate_s1p5_p4,0,0.09868140262930751
1.0,42,scalar_gate_s1p5_p4,1,0.07805727209413939
1.0,42,scalar_gate_s1p5_p4,2,0.04705553791095751
1.0,42,scalar_gate_s1p5_p4,3,0.04410335035957805
1.0,42,fourier_gate_s1p5_p4,0,0.08915891502957064
1.0,42,fourier_gate_s1p5_p4,1,0.07672972741275229
1.0,42,fourier_gate_s1p5_p4,2,0.04519352882575309
1.0,42,fourier_gate_s1p5_p4,3,0.0410321465104571
1.0,43,score,0,0.09368439087959163
1.0,43,score,1,0.09211281772043657
1.0,43,score,2,0.07291391658598359
1.0,43,score,3,0.0697604644048157
1.0,43,scalar_gaussian,0,0.08048083645123777
1.0,43,scalar_gaussian,1,0.09797130022050626
1.0,43,scalar_gaussian,2,0.06768657512870518
1.0,43,scalar_gaussian,3,0.05053853748215045
1.0,43,fourier_gaussian,0,0.08476747730071732
1.0,43,fourier_gaussian,1,0.11705891411111358
1.0,43,fourier_gaussian,2,0.12866115118640836
1.0,43,fourier_gaussian,3,0.12070725031801646
1.0,43,scalar_normalized,0,0.07134273096847926
1.0,43,scalar_normalized,1,0.09702528846876647
1.0,43,scalar_normalized,2,0.07257252531239648
1.0,43,scalar_normalized,3,0.05843261336944108
1.0,43,fourier_normalized,0,0.06336017334737037
1.0,43,fourier_normalized,1,0.09437324318206398
1.0,43,fourier_normalized,2,0.08830206765295749
1.0,43,fourier_normalized,3,0.07283745817522178
1.0,43,scalar_gate_s1p5_p4,0,0.09827370548394568
1.0,43,scalar_gate_s1p5_p4,1,0.07942184030131699
1.0,43,scalar_gate_s1p5_p4,2,0.04735292359921142
1.0,43,scalar_gate_s1p5_p4,3,0.04480924192465231
1.0,43,fourier_gate_s1p5_p4,0,0.08980537701364573
1.0,43,fourier_gate_s1p5_p4,1,0.07677923450135918
1.0,43,fourier_gate_s1p5_p4,2,0.04435486913331741
1.0,43,fourier_gate_s1p5_p4,3,0.040440705642928565
1.0,44,score,0,0.09382096654112815
1.0,44,score,1,0.09016946854101626
1.0,44,score,2,0.07034177180244316
1.0,44,score,3,0.06572897111486359
1.0,44,scalar_gaussian,0,0.080093005704584
1.0,44,scalar_gaussian,1,0.0989542673447759
1.0,44,scalar_gaussian,2,0.0694534848573326
1.0,44,scalar_gaussian,3,0.05318509760001298
