spectrum_lambda,method,region,score_error_mean,n_noise_bins
1,score,low,0.048727453596459566,3
1,score,middle,0.08978174752214048,3
1,score,high,0.09439689877443988,3
1,scalar_gaussian,low,0.04416083394248963,3
1,scalar_gaussian,middle,0.10754305714965841,3
1,scalar_gaussian,high,0.07193586021653794,3
1,fourier_gaussian,low,0.11693619562521664,3
1,fourier_gaussian,middle,0.1959186903551887,3
1,fourier_gaussian,high,0.07082895694514184,3
1,scalar_normalized,low,0.057063198428630696,3
1,scalar_normalized,middle,0.11381396172620825,3
1,scalar_normalized,high,0.06413946780871427,3
1,fourier_normalized,low,0.07787395632559461,3
1,fourier_normalized,middle,0.12632744280632877,3
1,fourier_normalized,high,0.0497877601674847,3
1,scalar_gate_s1p5_p4,low,0.03487932774375092,3
1,scalar_gate_s1p5_p4,middle,0.07357237557702279,3
1,scalar_gate_s1p5_p4,high,0.06657280093478264,3
1,fourier_gate_s1p5_p4,low,0.034128394431022765,3
1,fourier_gate_s1p5_p4,middle,0.07203059370058934,3
1,fourier_gate_s1p5_p4,high,0.05974069677524237,3
