spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.0,scalar_gate_s1p5_p4,score,-0.014242238258936286,0.0002400258475449464,-26.729713328634897,3,3
0.0,scalar_gate_s1p5_p4,scalar_gaussian,-0.09397907053963801,0.005051834695019685,-70.65072804316206,3,3
0.0,scalar_gate_s1p5_p4,fourier_gaussian,-0.09397943358821813,0.005051971837015562,-70.6508081457202,3,3
0.0,scalar_gate_s1p5_p4,scalar_normalized,-0.08618660815482589,0.005953639460032387,-68.82441678029288,3,3
0.0,scalar_gate_s1p5_p4,fourier_normalized,-0.08618664491973405,0.005953633647105937,-68.8244259330238,3,3
0.0,scalar_gate_s1p5_p4,fourier_gate_s1p5_p4,2.968448588787827e-10,5.131331937066115e-09,7.603572660386249e-07,2,3
0.0,fourier_gate_s1p5_p4,score,-0.014242238555781146,0.00024002214040082573,-26.72971388575084,3,3
0.0,fourier_gate_s1p5_p4,scalar_gaussian,-0.09397907083648287,0.005051838034936381,-70.6507282663214,3,3
0.0,fourier_gate_s1p5_p4,fourier_gaussian,-0.09397943388506298,0.0050519751766773925,-70.65080836887891,3,3
0.0,fourier_gate_s1p5_p4,scalar_normalized,-0.08618660845167074,0.005953634733203083,-68.82441701733867,3,3
0.0,fourier_gate_s1p5_p4,fourier_normalized,-0.08618664521657889,0.0059536289202668,-68.82442617006954,3,3
0.0,fourier_gate_s1p5_p4,scalar_gate_s1p5_p4,-2.968448588787827e-10,5.131331937066115e-09,-7.603572660386249e-07,1,3
0.5,scalar_gate_s1p5_p4,score,-0.01665819622609335,0.0008661231059527633,-27.945479649299187,3,3
0.5,scalar_gate_s1p5_p4,scalar_gaussian,-0.04330244456204673,0.0034639109658415436,-50.20347702028142,3,3
0.5,scalar_gate_s1p5_p4,fourier_gaussian,-0.08631983958465163,0.0038627218175747487,-66.77418674745357,3,3
0.5,scalar_gate_s1p5_p4,scalar_normalized,-0.05001858960150315,0.0022434954345097327,-53.800772889189766,3,3
0.5,scalar_gate_s1p5_p4,fourier_normalized,-0.07742151862269624,0.004715271818640465,-64.31803732484367,3,3
0.5,scalar_gate_s1p5_p4,fourier_gate_s1p5_p4,9.31779139917525e-05,0.0002886194009761117,0.21740950093245281,1,3
0.5,fourier_gate_s1p5_p4,score,-0.016751374140085103,0.0006247208681622409,-28.101793181921764,3,3
0.5,fourier_gate_s1p5_p4,scalar_gaussian,-0.04339562247603848,0.003341955397323616,-50.31150453030293,3,3
0.5,fourier_gate_s1p5_p4,fourier_gaussian,-0.08641301749864339,0.00378297933165709,-66.8462661148338,3,3
0.5,fourier_gate_s1p5_p4,scalar_normalized,-0.0501117675154949,0.002110755616284756,-53.90099650262824,3,3
0.5,fourier_gate_s1p5_p4,fourier_normalized,-0.07751469653668798,0.004940935915433508,-64.39544501015632,3,3
0.5,fourier_gate_s1p5_p4,scalar_gate_s1p5_p4,-9.31779139917525e-05,0.0002886194009761117,-0.21693785741930816,2,3
1.0,scalar_gate_s1p5_p4,score,-0.019293865212494526,0.0005393046082955864,-24.851901974257085,3,3
1.0,scalar_gate_s1p5_p4,scalar_gaussian,-0.016205082351043218,0.0014646289851967457,-21.738195812079443,3,3
1.0,scalar_gate_s1p5_p4,fourier_gaussian,-0.06955311288999692,0.006918562572691237,-54.38314448661331,3,3
1.0,scalar_gate_s1p5_p4,scalar_normalized,-0.019997374569332284,0.002069804512182307,-25.526757075801687,3,3
1.0,scalar_gate_s1p5_p4,fourier_normalized,-0.026321551681283906,0.004116953740621096,-31.08977377682739,3,3
1.0,scalar_gate_s1p5_p4,fourier_gate_s1p5_p4,0.0030416064495672954,0.0005185419570214198,5.500202941208165,0,3
1.0,fourier_gate_s1p5_p4,score,-0.022335471662061818,0.000967214648261918,-28.769712350581443,3,3
1.0,fourier_gate_s1p5_p4,scalar_gaussian,-0.019246688800610513,0.0013991152545533396,-25.818337779375344,3,3
1.0,fourier_gate_s1p5_p4,fourier_gaussian,-0.07259471933956423,0.006412354745287078,-56.76135756932384,3,3
1.0,fourier_gate_s1p5_p4,scalar_normalized,-0.02303898101889958,0.0016560446759937525,-29.409384202132927,3,3
1.0,fourier_gate_s1p5_p4,fourier_normalized,-0.0293631581308512,0.004468612648846325,-34.68237567128279,3,3
1.0,fourier_gate_s1p5_p4,scalar_gate_s1p5_p4,-0.0030416064495672954,0.0005185419570214198,-5.213452474848079,3,3
