spectrum_lambda,method,n_seeds,score_error_mean,score_error_sd,unweighted_score_error_mean,unweighted_score_error_sd
0.0,score,3,0.053282420517690034,0.00019917442204583135,0.21214711667568276,0.00045718823776317143
0.0,scalar_gaussian,3,0.13301925279839175,0.005114835163537712,0.8954357959578253,0.03336196459313196
0.0,fourier_gaussian,3,0.13301961584697186,0.00511497675148097,0.8954391495974411,0.03336294443427964
0.0,scalar_normalized,3,0.12522679041357962,0.005929123368056341,0.8473864563575333,0.04217566265513561
0.0,fourier_normalized,3,0.1252268271784878,0.00592911799907562,0.8473867207481837,0.04217567627694979
0.0,scalar_gate_s1p5_p4,3,0.03904018225875375,9.312161968542186e-05,0.15150025336490405,0.0010476238370466225
0.0,fourier_gate_s1p5_p4,3,0.039040181961908886,9.31222634277334e-05,0.15150026701455735,0.0010476357524309204
0.5,score,3,0.059609627156680785,0.0005861479377305361,0.2952154866827563,0.005932580386057578
0.5,scalar_gaussian,3,0.08625387549263418,0.0030643195168295716,0.6265873062977027,0.026696886210294726
0.5,fourier_gaussian,3,0.12927127051523904,0.0034688800797749338,1.007735105411275,0.023713254769700234
0.5,scalar_normalized,3,0.09297002053209058,0.0018447482725057614,0.725305876236443,0.013987628260736547
0.5,fourier_normalized,3,0.12037294955328366,0.004646421631114192,0.9442864651510373,0.037900893821875475
0.5,scalar_gate_s1p5_p4,3,0.04295143093058743,0.000399592925875295,0.2026184243781276,0.003753283561292564
0.5,fourier_gate_s1p5_p4,3,0.04285825301659568,0.0003702598490654615,0.20813424365333535,0.0036589711300859286
1.0,score,3,0.07763536663101331,0.0012077994228565443,0.6709638205648116,0.020333802325825094
1.0,scalar_gaussian,3,0.07454658376956201,0.0007707642425669246,0.6184105233435706,0.014032808791049928
1.0,fourier_gaussian,3,0.1278946143085157,0.006591607863887739,1.5088290765268144,0.06100835914140218
1.0,scalar_normalized,3,0.07833887598785107,0.001590344728325784,0.781258957008121,0.022628287906745228
1.0,fourier_normalized,3,0.0846630530998027,0.003803140794044975,1.0171068243276666,0.04039494514705782
1.0,scalar_gate_s1p5_p4,3,0.058341501418518786,0.0006941217643322489,0.48790013256701487,0.011952145940265719
1.0,fourier_gate_s1p5_p4,3,0.05529989496895149,0.0007216886092038049,0.4776568466024287,0.011803106997490348
