spectrum_lambda,seed,method,band,score_error
0.0,42,scalar_gate_loglinear_lo0p1_hi3,0,0.0536559918231947
0.0,42,scalar_gate_loglinear_lo0p1_hi3,1,0.05369006000875979
0.0,42,scalar_gate_loglinear_lo0p1_hi3,2,0.05272672882132873
0.0,42,scalar_gate_loglinear_lo0p1_hi3,3,0.05301947724007982
0.0,42,fourier_gate_loglinear_lo0p1_hi3,0,0.053655972555407334
0.0,42,fourier_gate_loglinear_lo0p1_hi3,1,0.053690032219668025
0.0,42,fourier_gate_loglinear_lo0p1_hi3,2,0.052726709507458586
0.0,42,fourier_gate_loglinear_lo0p1_hi3,3,0.05301945818381982
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,0,0.06420229439648671
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,1,0.066973355333032
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,2,0.06600934877092608
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.06642516422608231
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,0,0.06420229707137096
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,1,0.06697335051022829
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,2,0.0660093387172534
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.0664251492011763
0.0,42,score,0,0.054641480196508066
0.0,42,score,1,0.05372157808448894
0.0,42,score,2,0.05340928493685658
0.0,42,score,3,0.05431346025078826
0.0,42,scalar_gaussian,0,0.14719351948052162
0.0,42,scalar_gaussian,1,0.13575179798399561
0.0,42,scalar_gaussian,2,0.14043989942475793
0.0,42,scalar_gaussian,3,0.1370905277173611
0.0,42,fourier_gaussian,0,0.14719381606165347
0.0,42,fourier_gaussian,1,0.135752144999871
0.0,42,fourier_gaussian,2,0.14044024945993883
0.0,42,fourier_gaussian,3,0.13709091522878777
0.0,42,scalar_normalized,0,0.11651538214283493
0.0,42,scalar_normalized,1,0.1166903880051925
0.0,42,scalar_normalized,2,0.12084751216900617
0.0,42,scalar_normalized,3,0.11643918806164748
0.0,42,fourier_normalized,0,0.1165154256887856
0.0,42,fourier_normalized,1,0.11669043834319758
0.0,42,fourier_normalized,2,0.12084755767282508
0.0,42,fourier_normalized,3,0.11643924708667074
0.0,42,scalar_gate_s1p5_p4,0,0.03978426584992606
0.0,42,scalar_gate_s1p5_p4,1,0.0393703200583096
0.0,42,scalar_gate_s1p5_p4,2,0.039520743808982725
0.0,42,scalar_gate_s1p5_p4,3,0.0398136017311731
0.0,42,fourier_gate_s1p5_p4,0,0.0397842522265103
0.0,42,fourier_gate_s1p5_p4,1,0.03937030943770336
0.0,42,fourier_gate_s1p5_p4,2,0.03952073796352734
0.0,42,fourier_gate_s1p5_p4,3,0.03981359396537239
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.061249514699868626
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06086527108054047
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06086588374391436
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.0609653130704793
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06124950432918988
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06086525745691992
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.060865874943559314
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06096529651307625
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.041025072579947724
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04056455212914409
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.041140939519258374
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04096634765242494
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.041025075182691516
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04056455292302309
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04114093770705695
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04096634421880418
0.0,42,scalar_gate_s1p5_p4_linear_sigma,0,0.040441935688523216
0.0,42,scalar_gate_s1p5_p4_linear_sigma,1,0.04045187875161137
0.0,42,scalar_gate_s1p5_p4_linear_sigma,2,0.04077084146292659
0.0,42,scalar_gate_s1p5_p4_linear_sigma,3,0.04074373847406783
0.0,42,fourier_gate_s1p5_p4_linear_sigma,0,0.040441930115026434
0.0,42,fourier_gate_s1p5_p4_linear_sigma,1,0.04045187233903624
