spectrum_lambda,method,region,score_error_mean,score_error_sd,n_seeds
0.0,score,low,0.014254130775015103,0.00011442418919344954,3
0.0,score,middle,0.0599684107658173,0.00019568571636967164,3
0.0,score,high,0.08721856332206453,0.0004894854086434967,3
0.0,scalar_gaussian,low,0.06455707047620245,0.0023705604104055805,3
0.0,scalar_gaussian,middle,0.219965185174029,0.008967908200770062,3
0.0,scalar_gaussian,high,0.11645972087580377,0.004056243595708897,3
0.0,fourier_gaussian,low,0.06455732040469707,0.002370627029006656,3
0.0,fourier_gaussian,middle,0.21996587324674657,0.00896802099538739,3
0.0,fourier_gaussian,high,0.11645985661418207,0.004056324134707828,3
0.0,scalar_normalized,low,0.06104545337950957,0.0029970640511164954,3
0.0,scalar_normalized,middle,0.2064244787781527,0.010292673789930016,3
0.0,scalar_normalized,high,0.1098092415185047,0.004721731042615148,3
0.0,fourier_normalized,low,0.06104547271443783,0.0029970672171764634,3
0.0,fourier_normalized,middle,0.20642453246624734,0.010292668573661694,3
0.0,fourier_normalized,high,0.1098092799425185,0.004721706890141121,3
0.0,scalar_gate_s1p5_p4,low,0.009505260573752955,0.00011608591379257451,3
0.0,scalar_gate_s1p5_p4,middle,0.045547302571815045,0.0002979081370968264,3
0.0,scalar_gate_s1p5_p4,high,0.06341190525404787,0.00024739259481841797,3
0.0,fourier_gate_s1p5_p4,low,0.009505261829410293,0.00011608664510516132,3
0.0,fourier_gate_s1p5_p4,middle,0.045547299998704764,0.0002979136066803281,3
0.0,fourier_gate_s1p5_p4,high,0.06341190267070422,0.00024738625755197974,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01567414031320408,0.0007034508113066195,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.061874890075455075,0.0018150488169598588,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.10732126049586245,0.0007125995218593886,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.015674140818763494,0.0007034514359338766,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06187487668872005,0.001815051429924798,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.10732124708079831,0.0007125971832202277,3
