spectrum_lambda,seed,method,region,n,score_error
0.0,42,scalar_gate_loglinear_lo0p1_hi3,low,6144,0.017570963313041938
0.0,42,scalar_gate_loglinear_lo0p1_hi3,middle,6144,0.06503573318509398
0.0,42,scalar_gate_loglinear_lo0p1_hi3,high,6144,0.0766372876116465
0.0,42,fourier_gate_loglinear_lo0p1_hi3,low,6144,0.017570954115396137
0.0,42,fourier_gate_loglinear_lo0p1_hi3,middle,6144,0.06503569657611341
0.0,42,fourier_gate_loglinear_lo0p1_hi3,high,6144,0.07663726923972615
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,low,6144,0.02241562941102022
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,middle,6144,0.07819347230719659
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,high,6144,0.09789384329227568
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,low,6144,0.022415622597671814
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,middle,6144,0.07819346200069678
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,high,6144,0.097893835060274
0.0,42,score,low,6144,0.014360826329714615
0.0,42,score,middle,6144,0.060063852809031947
0.0,42,score,high,6144,0.0867076402570932
0.0,42,scalar_gaussian,low,6144,0.06711356553753182
0.0,42,scalar_gaussian,middle,6144,0.23010345604351082
0.0,42,scalar_gaussian,high,6144,0.120756464124171
0.0,42,fourier_gaussian,low,6144,0.06711377909335435
0.0,42,fourier_gaussian,middle,6144,0.23010410729832184
0.0,42,fourier_gaussian,high,6144,0.1207566504365994
0.0,42,scalar_normalized,low,6144,0.05760376233837162
0.0,42,scalar_normalized,middle,6144,0.1945449663753869
0.0,42,scalar_normalized,high,6144,0.1044008599627239
0.0,42,fourier_normalized,low,6144,0.05760378041629178
0.0,42,fourier_normalized,middle,6144,0.19454502442826369
0.0,42,fourier_normalized,high,6144,0.10440092921440601
0.0,42,scalar_gate_s1p5_p4,low,6144,0.009576011507504218
0.0,42,scalar_gate_s1p5_p4,middle,6144,0.04537612228390381
0.0,42,scalar_gate_s1p5_p4,high,6144,0.06368259223680546
0.0,42,fourier_gate_s1p5_p4,low,6144,0.009576010504806927
0.0,42,fourier_gate_s1p5_p4,middle,6144,0.04537610852033125
0.0,42,fourier_gate_s1p5_p4,high,6144,0.06368258325224085
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014864009992428345
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.05980708513253413
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10805795686169654
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014864009767062827
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.05980706907937958
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.1080579394811531
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009555731770813371
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04504887957035397
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06828510441630076
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.00955573303893095
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04504887491289492
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06828510467431478
0.0,42,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.009896207128653842
0.0,42,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.04566433444826417
0.0,42,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06642423941407476
0.0,42,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.00989620510577118
0.0,42,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.045664326582961524
0.0,42,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.06642423446320485
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.00965127745010353
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.04618779753117661
