spectrum_lambda,seed,method,steps,score_error,unweighted_score_error,dsm_pixel_mean,gradient_norm_mean,gradient_clip_fraction,test_bank_sha256
0.0,42,scalar_gate_loglinear_lo0p1_hi3,5000,0.05308132803659414,0.2790092888615195,0.5543674771265034,0.18476961899735034,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_loglinear_lo0p1_hi3,5000,0.05308130664374524,0.279009160721198,0.5543674537600157,0.18476963661238552,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,5000,0.06616764833683082,0.344152825499185,0.5676254716104805,0.161722661812976,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,5000,0.0661676398862142,0.3441527326303061,0.5676254633261248,0.16172266142219305,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,score,5000,0.05371077313194658,0.21596499603234923,0.5549737386904796,0.44525671850666404,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gaussian,5000,0.13932449523507118,0.9360588649767888,0.6411145083186097,0.0319257296288386,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gaussian,5000,0.1393248456094252,0.9360617842339914,0.6411148557814838,0.03192575275059789,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_normalized,5000,0.11884986289216079,0.8029086260468973,0.6204175236987963,0.07692612514905632,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_normalized,5000,0.11884991135298716,0.8029089084256055,0.6204175662829655,0.07692602799721063,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gate_s1p5_p4,5000,0.03954490867607116,0.15296744629139247,0.5408572144732658,0.2686319178339094,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_s1p5_p4,5000,0.03954490075912634,0.1529674049807042,0.5408572120962964,0.2686318341471255,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,5000,0.060909683995553,0.24010028224746838,0.5623437997925634,0.17726859631091357,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,5000,0.06090967277586517,0.24010026737665735,0.5623437895674179,0.1772685975290835,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,5000,0.0409632385858227,0.1552295864436963,0.5421207155493507,0.2458554589368403,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,5000,0.04096323754204689,0.15522960237686645,0.5421207182175708,0.245855439145118,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gate_s1p5_p4_linear_sigma,5000,0.04066159366366426,0.15771865433721716,0.5419928787514381,0.24790781869478523,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_s1p5_p4_linear_sigma,5000,0.04066158871731252,0.1577186256101721,0.5419928723694878,0.24790782178118825,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,scalar_gate_s1p5_p4_tanh_sigma,5000,0.040034670934023874,0.155427504004275,0.5412275202738512,0.25346834195628765,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,42,fourier_gate_s1p5_p4_tanh_sigma,5000,0.04003466776325218,0.15542748425169128,0.541227516465536,0.25346833537518976,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_loglinear_lo0p1_hi3,5000,0.05626416383935161,0.31368561930214706,0.5579297689185121,0.17868396022617816,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_loglinear_lo0p1_hi3,5000,0.05626417074311977,0.313685633284442,0.5579297792357772,0.17868393066339194,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,5000,0.06718297590327078,0.3481382334868506,0.568463471927634,0.15694155361615122,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,5000,0.06718297150854113,0.3481381872687909,0.5684634659248874,0.1569415487907827,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,score,5000,0.05387701401136919,0.21471509919448808,0.5549608364310304,0.44104274478703737,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gaussian,5000,0.12939943196764483,0.8694888264261471,0.6310656928785509,0.03832482497803867,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gaussian,5000,0.12939943460462658,0.869488801714602,0.6310656962657527,0.03832480532042682,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_normalized,5000,0.1290147770837445,0.8714066659132187,0.6307741856657093,0.07158396186567843,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_normalized,5000,0.12901477996310018,0.8714066966007735,0.6307741890845261,0.07158395214341581,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_s1p5_p4,5000,0.03936713056035081,0.15144373725264793,0.5407175768688245,0.26710505949035285,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_s1p5_p4,5000,0.039367130496631174,0.15144373932088823,0.5407175757458264,0.267105028866604,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,5000,0.06197045906344402,0.25804596292542464,0.5631835482770101,0.17711000661216678,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,5000,0.06197045142237093,0.25804597011613706,0.5631835416185527,0.17711001134626567,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,5000,0.040854552154649774,0.154114030166827,0.5422039225926713,0.24572724486663938,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,5000,0.04085455384209318,0.1541140509504003,0.5422039238707211,0.24572723827585577,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_s1p5_p4_linear_sigma,5000,0.040992858881683,0.1583707577486169,0.542333797080024,0.24386899386942387,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_s1p5_p4_linear_sigma,5000,0.04099285894632576,0.158370755825009,0.5423337982988206,0.2438689827822149,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,scalar_gate_s1p5_p4_tanh_sigma,5000,0.04001242920214276,0.15321186225543967,0.54129993007759,0.25053162959702313,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,43,fourier_gate_s1p5_p4_tanh_sigma,5000,0.04001243337408031,0.15321189327553922,0.541299932159697,0.25053161493390796,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,44,scalar_gate_loglinear_lo0p1_hi3,5000,0.05514644188907678,0.3014806142630677,0.5562991077585361,0.17944339422471822,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,44,fourier_gate_loglinear_lo0p1_hi3,5000,0.055146489835925315,0.30148105231266986,0.556299159832602,0.17944340022392571,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,44,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,5000,0.07054235699043435,0.3816097693011879,0.5716763988927573,0.16250002197287977,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
0.0,44,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,5000,0.07054237470682642,0.38161003461177967,0.5716764138615203,0.16250004330575465,0.0,95f839d2e69fa107c0a0817fde1f958069548ac6d261121dc211b0a2c7370918
