spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,42,scalar_gate_loglinear_lo0p1_hi3,0,0.10000000149011612,1024,0.022089783473180337,2.2089782814853502,0.06312809649804497,0.3499199991538544,0.9366716184206887,0.015715124133249315,0.009535843168510668,0.01948213932246888,0.057800477106353575
1.0,42,scalar_gate_loglinear_lo0p1_hi3,1,0.20000000298023224,1024,0.03553330341928099,0.8883325590076512,0.1625465845341267,0.21860381453798408,0.7646887155046922,0.015434422395058434,0.024467783466693697,0.03656353701339867,0.062479390326226375
1.0,42,scalar_gate_loglinear_lo0p1_hi3,2,0.30000001192092896,1024,0.048459043985482494,0.5384337792700435,0.22512681356151482,0.21525220927200348,0.6355762226262809,0.028128608596926903,0.04907923165123386,0.050396141083639746,0.051333252091416905
1.0,42,scalar_gate_loglinear_lo0p1_hi3,3,0.4000000059604645,1024,0.06425072080523028,0.40156699306506016,0.2528622117332959,0.25409380217316985,0.5304934998470721,0.05050850122862758,0.08280622028365596,0.06299437834968544,0.04364391521820013
1.0,42,scalar_gate_loglinear_lo0p1_hi3,4,0.5,1024,0.07714960764533377,0.30859843058133507,0.254802851762606,0.3027815705815267,0.46049049195424807,0.07251231468174124,0.11555403011962907,0.06930382130887885,0.04109098994185664
1.0,42,scalar_gate_loglinear_lo0p1_hi3,5,0.6000000238418579,1024,0.08853596532350762,0.2459332174647269,0.24635118997637317,0.3593892334435196,0.4046304686610077,0.10183851206104688,0.14512830170574692,0.07237026064271253,0.0416075034727862
1.0,42,scalar_gate_loglinear_lo0p1_hi3,6,0.699999988079071,1024,0.10167847580786787,0.2075071005530943,0.23643271873308322,0.4300524747704487,0.36873857265189497,0.1283912923292559,0.1732793302272173,0.0794276339016936,0.04360635041824496
1.0,42,scalar_gate_loglinear_lo0p1_hi3,7,0.75,1024,0.10557501437737216,0.18768891444866162,0.22897076280115233,0.4610851319434956,0.3477889335371556,0.1408622359132759,0.18145983484861133,0.08094301304513897,0.04411888216365913
1.0,42,scalar_gate_loglinear_lo0p1_hi3,8,0.800000011920929,1024,0.10753669662312498,0.16802608346606523,0.22010892135027638,0.48856128122128,0.33406463530123764,0.15032694330691104,0.18856234410339806,0.08011323615357555,0.04331848138550073
1.0,42,scalar_gate_loglinear_lo0p1_hi3,9,0.8999999761581421,1024,0.11540474727748277,0.14247500418746487,0.20678769389574736,0.5580832452034812,0.3141303761236896,0.18182238515794044,0.20391206899642644,0.08285745856751627,0.04411613385897993
