spectrum_lambda,seed,method,band,scaled_score_mse
0.0,42,fourier_gaussian,0,0.14636523019393888
0.0,42,fourier_gaussian,1,0.13466458696461103
0.0,42,fourier_gaussian,2,0.13897637938083685
0.0,42,fourier_gaussian,3,0.136335255316347
0.0,42,scalar_normalized,0,0.11615838108303252
0.0,42,scalar_normalized,1,0.11560760241653172
0.0,42,scalar_normalized,2,0.119293400687409
0.0,42,scalar_normalized,3,0.11604856963627926
0.0,42,score,0,0.05343183498843271
0.0,42,score,1,0.05289545604777687
0.0,42,score,2,0.0522896792875057
0.0,42,score,3,0.053299637134155524
0.0,42,fourier_normalized,0,0.11615845192434215
0.0,42,fourier_normalized,1,0.1156076536138548
0.0,42,fourier_normalized,2,0.11929344897824128
0.0,42,fourier_normalized,3,0.11604862976881718
0.0,42,scalar_gaussian,0,0.1463648390145993
0.0,42,scalar_gaussian,1,0.1346642365271683
0.0,42,scalar_gaussian,2,0.13897602076862003
0.0,42,scalar_gaussian,3,0.13633483610646763
0.5,42,fourier_gaussian,0,0.10497138115619595
0.5,42,fourier_gaussian,1,0.1234535240263498
0.5,42,fourier_gaussian,2,0.1313584233058073
0.5,42,fourier_gaussian,3,0.12340976088640204
0.5,42,scalar_normalized,0,0.06566449584057127
0.5,42,scalar_normalized,1,0.08934715095852618
0.5,42,scalar_normalized,2,0.09597088329167364
0.5,42,scalar_normalized,3,0.0884996484927105
0.5,42,score,0,0.08452873518167792
0.5,42,score,1,0.06230184248776596
0.5,42,score,2,0.05345183150682691
0.5,42,score,3,0.05321707015159997
0.5,42,fourier_normalized,0,0.10095161068582517
0.5,42,fourier_normalized,1,0.12326612525826916
0.5,42,fourier_normalized,2,0.12593771449307067
0.5,42,fourier_normalized,3,0.118927387674616
0.5,42,scalar_gaussian,0,0.06990130183554026
0.5,42,scalar_gaussian,1,0.08510322940676995
0.5,42,scalar_gaussian,2,0.08469372985172044
0.5,42,scalar_gaussian,3,0.0802907169159919
1.0,42,fourier_gaussian,0,0.09171345226661021
1.0,42,fourier_gaussian,1,0.13470077600175334
1.0,42,fourier_gaussian,2,0.14282522710017875
1.0,42,fourier_gaussian,3,0.12751943466998042
1.0,42,scalar_normalized,0,0.07253134768165137
1.0,42,scalar_normalized,1,0.10030453836517728
1.0,42,scalar_normalized,2,0.07708374228762624
1.0,42,scalar_normalized,3,0.06105259034119908
1.0,42,score,0,0.09376034524590153
1.0,42,score,1,0.09048123187980468
1.0,42,score,2,0.07171362189389031
1.0,42,score,3,0.06793975106297806
1.0,42,fourier_normalized,0,0.06504659929591836
1.0,42,fourier_normalized,1,0.0857983163441051
1.0,42,fourier_normalized,2,0.08348640016128389
1.0,42,fourier_normalized,3,0.06699732364137378
1.0,42,scalar_gaussian,0,0.08089378861563622
1.0,42,scalar_gaussian,1,0.09802642049638235
1.0,42,scalar_gaussian,2,0.06853583973020352
1.0,42,scalar_gaussian,3,0.0532261417892434
0.0,43,fourier_normalized,0,0.1185258262158449
0.0,43,fourier_normalized,1,0.1276222265298231
0.0,43,fourier_normalized,2,0.12937376011457863
0.0,43,fourier_normalized,3,0.12808688889269051
0.0,43,scalar_normalized,0,0.11852582467114188
0.0,43,scalar_normalized,1,0.12762221928360018
0.0,43,scalar_normalized,2,0.12937375730274903
0.0,43,scalar_normalized,3,0.1280868872333369
0.0,43,scalar_gaussian,0,0.12213913434982289
0.0,43,scalar_gaussian,1,0.12558844253444074
0.0,43,scalar_gaussian,2,0.13004519466447062
0.0,43,scalar_gaussian,3,0.13079517126421933
0.0,43,score,0,0.05336627145171164
0.0,43,score,1,0.0524468424644304
0.0,43,score,2,0.05311377344322813
0.0,43,score,3,0.0528002125483201
0.0,43,fourier_gaussian,0,0.12213913291059117
0.0,43,fourier_gaussian,1,0.12558844694721857
0.0,43,fourier_gaussian,2,0.13004519867014874
0.0,43,fourier_gaussian,3,0.1307951766140042
0.5,43,fourier_normalized,0,0.09453479356363326
0.5,43,fourier_normalized,1,0.11458640027472053
0.5,43,fourier_normalized,2,0.11750736714198627
0.5,43,fourier_normalized,3,0.11531514446696274
0.5,43,scalar_normalized,0,0.06865130969027713
0.5,43,scalar_normalized,1,0.09229748214836134
0.5,43,scalar_normalized,2,0.09806263313258937
0.5,43,scalar_normalized,3,0.08942573286864751
0.5,43,scalar_gaussian,0,0.07180391209144611
0.5,43,scalar_gaussian,1,0.08565862432309203
0.5,43,scalar_gaussian,2,0.08880388015454245
0.5,43,scalar_gaussian,3,0.08247616131788055
0.5,43,score,0,0.08689896902156027
0.5,43,score,1,0.06298215395274964
0.5,43,score,2,0.05506591497737201
