spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins_out_of_3
0.0,scalar_normalized,scalar_gaussian,-0.007924320151246833,0.010894764412662886,-5.96863614681582,3
0.0,fourier_normalized,fourier_gaussian,-0.007924668184215847,0.010894774868660109,-5.968880862295167,3
0.0,fourier_normalized,scalar_normalized,3.954366642004251e-08,3.1482972943581345e-08,3.167504862844339e-05,0
0.0,fourier_gaussian,scalar_gaussian,3.8757663543368775e-07,3.9405532493399983e-07,0.00029192459058968723,0
0.0,fourier_normalized,score,0.0719428529933441,0.006029452924473637,136.00071663571055,0
0.5,scalar_normalized,scalar_gaussian,0.006690262773012957,0.001587930364132361,7.763847603083285,0
0.5,fourier_normalized,fourier_gaussian,-0.008744210689438448,0.004597232660965831,-6.7932022586639995,3
0.5,fourier_normalized,scalar_normalized,0.02711353724918272,0.0050481597821714,29.197584010488463,0
0.5,fourier_gaussian,scalar_gaussian,0.04254801071163413,0.0006524205941022439,49.375679578982414,0
0.5,fourier_normalized,score,0.06124648118794238,0.005188280430009139,104.2860400601191,0
1.0,scalar_normalized,scalar_gaussian,0.0039020745653679106,0.0015457765709712154,5.209814844511507,0
1.0,fourier_normalized,fourier_gaussian,-0.042820233694973765,0.010424267232815084,-33.39776401463001,3
1.0,fourier_normalized,scalar_normalized,0.006592040778245263,0.005728553968247968,8.365470145563037,0
1.0,fourier_gaussian,scalar_gaussian,0.05331434903858694,0.006417266866707345,71.18210643945233,0
1.0,fourier_normalized,score,0.007755277726538686,0.004686930471637916,9.989104845257835,0
