spectrum_lambda,seed,method,band,score_error
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06021531001319296
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06092742346387186
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.060340025753560914
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.060209193684371956
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06021529968979647
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06092740654913896
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06034001746581141
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.060209175169661164
0.0,42,score,0,0.05321282375974022
0.0,42,score,1,0.05323164235190136
0.0,42,score,2,0.052639109466420184
0.0,42,score,3,0.05352025688225597
0.0,42,scalar_gaussian,0,0.14488661024805863
0.0,42,scalar_gaussian,1,0.13558773974767396
0.0,42,scalar_gaussian,2,0.13981484695034843
0.0,42,scalar_gaussian,3,0.13609633184226536
0.0,42,fourier_gaussian,0,0.14488691844021148
0.0,42,fourier_gaussian,1,0.13558805893458634
0.0,42,fourier_gaussian,2,0.13981522879818448
0.0,42,fourier_gaussian,3,0.13609676840688992
0.0,42,scalar_normalized,0,0.11550258103821388
0.0,42,scalar_normalized,1,0.11609209103189645
0.0,42,scalar_normalized,2,0.12010586401686879
0.0,42,scalar_normalized,3,0.11527754201334571
0.0,42,fourier_normalized,0,0.11550262497056576
0.0,42,fourier_normalized,1,0.11609213552279857
0.0,42,fourier_normalized,2,0.12010590719438559
0.0,42,fourier_normalized,3,0.1152775962350043
0.0,42,scalar_gate_s1p5_p4,0,0.038767334106914825
0.0,42,scalar_gate_s1p5_p4,1,0.03933785089444899
0.0,42,scalar_gate_s1p5_p4,2,0.038950212363643995
0.0,42,scalar_gate_s1p5_p4,3,0.03942681118327046
0.0,42,fourier_gate_s1p5_p4,0,0.03876732197518023
0.0,42,fourier_gate_s1p5_p4,1,0.039337842930856966
0.0,42,fourier_gate_s1p5_p4,2,0.038950212396235084
0.0,42,fourier_gate_s1p5_p4,3,0.03942680895540356
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.0611632080012759
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06170485726902521
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.061464387765908776
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.062026719084307985
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.0611631993402026
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06170484773392786
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.0614643830239556
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06202671768861371
0.0,43,score,0,0.05300884021907404
0.0,43,score,1,0.05309486385054071
0.0,43,score,2,0.053433673069603366
0.0,43,score,3,0.05281772661957673
0.0,43,scalar_gaussian,0,0.1224444077611268
