spectrum_lambda,method,region,score_error_mean,score_error_sd,n_seeds
0.0,score,low,0.014187120501881078,7.103859966471154e-05,3
0.0,score,middle,0.059385153136648515,0.00021758103733588062,3
0.0,score,high,0.0859106072453847,0.0006233726100630649,3
0.0,scalar_gaussian,low,0.06441059012805757,0.002550628596016345,3
0.0,scalar_gaussian,middle,0.21985403597677233,0.008653060413341759,3
0.0,scalar_gaussian,high,0.1156792991146215,0.0034101762473778695,3
0.0,fourier_gaussian,low,0.06441084975901988,0.0025507095940544176,3
0.0,fourier_gaussian,middle,0.2198547377737747,0.008653259332690035,3
0.0,fourier_gaussian,high,0.11567945876224957,0.0034102455164740247,3
0.0,scalar_normalized,low,0.0608016085572377,0.0030311683118619064,3
0.0,scalar_normalized,middle,0.20587858250255964,0.0110005289738584,3
0.0,scalar_normalized,high,0.1095568202968139,0.005128323226569867,3
0.0,fourier_normalized,low,0.060801626479721226,0.0030311739696025205,3
0.0,fourier_normalized,middle,0.20587863846697588,0.011000536933813825,3
0.0,fourier_normalized,high,0.10955686015188089,0.0051282976885693365,3
0.0,scalar_gate_s1p5_p4,low,0.009428802666106144,9.423992722165056e-05,3
0.0,scalar_gate_s1p5_p4,middle,0.04538127872579655,0.00025621527894117117,3
0.0,scalar_gate_s1p5_p4,high,0.06221243850799852,0.000246719386973525,3
0.0,fourier_gate_s1p5_p4,low,0.009428803237326725,9.424016189208183e-05,3
0.0,fourier_gate_s1p5_p4,middle,0.04538127932921696,0.00025621586611076277,3
0.0,fourier_gate_s1p5_p4,high,0.062212437017017154,0.00024671422303210573,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.015544520155505928,0.0006288880468604354,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06178506890007859,0.0017011006104618394,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.1061941183408452,0.0006377875036925073,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.015544520723195574,0.0006288901161326647,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.061785055886233675,0.001701106465321468,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.10619410579900886,0.000637787376670932,3
0.5,score,low,0.020835652403182327,0.000478016212653871,3
0.5,score,middle,0.0655257379876727,0.0006797594691243552,3
0.5,score,high,0.09204132713104873,0.0011281678234441007,3
0.5,scalar_gaussian,low,0.04588151471961772,0.0020609338293837024,3
0.5,scalar_gaussian,middle,0.1331375027029815,0.006213507769160245,3
0.5,scalar_gaussian,high,0.08150731852295062,0.0017550284720320823,3
0.5,fourier_gaussian,low,0.07471202162491303,0.001765903702224747,3
0.5,fourier_gaussian,middle,0.21300976119476497,0.006350232918931146,3
0.5,fourier_gaussian,high,0.10045321937695717,0.0027067428838266423,3
0.5,scalar_normalized,low,0.053338397719106874,0.0012102111201041472,3
0.5,scalar_normalized,middle,0.14790499376815833,0.0037614672285882227,3
0.5,scalar_normalized,high,0.0791877028549169,0.0012739232057031934,3
0.5,fourier_normalized,low,0.07025294267646272,0.0026299022323748337,3
0.5,fourier_normalized,middle,0.19755960837923345,0.008481945729386048,3
0.5,fourier_normalized,high,0.09353866216534784,0.003140574141873965,3
0.5,scalar_gate_s1p5_p4,low,0.013672248713815165,0.00023161707627245725,3
0.5,scalar_gate_s1p5_p4,middle,0.05111011545129814,0.0004734598142006766,3
0.5,scalar_gate_s1p5_p4,high,0.06409207035846941,0.0006312104498543918,3
0.5,fourier_gate_s1p5_p4,low,0.014133453878323876,0.0003059325718811578,3
0.5,fourier_gate_s1p5_p4,middle,0.05142361922384835,0.0004979961486877295,3
0.5,fourier_gate_s1p5_p4,high,0.06318509668347035,0.0005334740863227948,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01746732673031226,0.0006632214765496233,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06484201818091821,0.0018690306358078838,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.0871699839048785,0.000815570605247924,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01740598295705302,0.00044776415313528935,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06479286109198006,0.0014089572812574808,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.0976000887801191,0.00020776103646038017,3
1.0,score,low,0.04938256216635337,0.0014604395362027697,3
1.0,score,middle,0.08969217750541651,0.0011348504783012185,3
1.0,score,high,0.09496281122819139,0.000596213251839564,3
1.0,scalar_gaussian,low,0.04472978209170184,0.0010811434434259872,3
1.0,scalar_gaussian,middle,0.1076586029288098,0.0012375065645607126,3
1.0,scalar_gaussian,high,0.07182070135237945,0.0006141225500715023,3
1.0,fourier_gaussian,low,0.11733497135993314,0.004549856112880197,3
1.0,fourier_gaussian,middle,0.1960171772482855,0.011086526470868056,3
1.0,fourier_gaussian,high,0.07133944872263197,0.003323691262023609,3
1.0,scalar_normalized,low,0.0577987973573491,0.0016632997156016825,3
1.0,scalar_normalized,middle,0.11409623448267088,0.002792734582913449,3
1.0,scalar_normalized,high,0.06409355553554309,0.0004166559530938365,3
1.0,fourier_normalized,low,0.0781580314421411,0.003386396610401894,3
1.0,fourier_normalized,middle,0.1265930378681954,0.006619337269602522,3
1.0,fourier_normalized,high,0.05053249729791331,0.001597050003468255,3
1.0,scalar_gate_s1p5_p4,low,0.03537638124457971,0.0006851837679462466,3
1.0,scalar_gate_s1p5_p4,middle,0.07344235045076859,0.0006069535337261643,3
1.0,scalar_gate_s1p5_p4,high,0.06677792044510433,0.000340298629749474,3
1.0,fourier_gate_s1p5_p4,low,0.03455274215132068,0.0008691467031229492,3
1.0,fourier_gate_s1p5_p4,middle,0.07197355349350937,0.0007583422842145329,3
1.0,fourier_gate_s1p5_p4,high,0.06005351942420444,0.0003656202503069554,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.04188130442837885,0.0017377856494412826,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.09584213444121713,0.0022001568078916754,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.06968809869531926,0.000205908121661532,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.029283456692429797,0.0001670193718983002,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.0827159648295024,0.00042270797825789437,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.07554180626118322,0.00027290057429271475,3
