spectrum_lambda,seed,method,region,n,score_error
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014832226021568853
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.059833000555756986
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10671097393525227
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014832223989404024
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.059832980728180905
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10671095966990307
0.0,42,score,low,6144,0.014244692059657145
0.0,42,score,middle,6144,0.059301404233950604
0.0,42,score,high,6144,0.08532183012331629
0.0,42,scalar_gaussian,low,6144,0.06717459518236829
0.0,42,scalar_gaussian,middle,6144,0.2293139305693022
0.0,42,scalar_gaussian,high,6144,0.11940563065904714
0.0,42,fourier_gaussian,low,6144,0.0671748413560868
0.0,42,fourier_gaussian,middle,6144,0.22931459703497534
0.0,42,fourier_gaussian,high,6144,0.11940582238806535
0.0,42,scalar_normalized,low,6144,0.05731384368379159
0.0,42,scalar_normalized,middle,6144,0.19319071466723128
0.0,42,scalar_normalized,high,6144,0.10368686116749572
0.0,42,fourier_normalized,low,6144,0.05731385700283179
0.0,42,fourier_normalized,middle,6144,0.19319076451624817
0.0,42,fourier_normalized,high,6144,0.10368693335318983
0.0,42,scalar_gate_s1p5_p4,low,6144,0.009464393853795683
0.0,42,scalar_gate_s1p5_p4,middle,6144,0.045338990475330965
0.0,42,scalar_gate_s1p5_p4,high,6144,0.06249618469551809
0.0,42,fourier_gate_s1p5_p4,low,6144,0.009464393802394977
0.0,42,fourier_gate_s1p5_p4,middle,6144,0.04533898833624633
0.0,42,fourier_gate_s1p5_p4,high,6144,0.06249617718199482
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.015778282682792962
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06257185410596276
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10639002315392176
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.01577828526582616
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06257184458324633
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10639001276604654
0.0,43,score,low,6144,0.014208937286601532
0.0,43,score,middle,6144,0.05963216436866059
0.0,43,score,high,6144,0.08584638803130318
0.0,43,scalar_gaussian,low,6144,0.06214772820257299
0.0,43,scalar_gaussian,middle,6144,0.21233872510628402
0.0,43,scalar_gaussian,high,6144,0.11271379856842027
0.0,43,fourier_gaussian,low,6144,0.06214772838957792
0.0,43,fourier_gaussian,middle,6144,0.2123387366890486
0.0,43,fourier_gaussian,high,6144,0.11271380922701191
0.0,43,scalar_normalized,low,6144,0.06229131885641942
0.0,43,scalar_normalized,middle,6144,0.21169797371497642
0.0,43,scalar_normalized,high,6144,0.11181549816749582
0.0,43,fourier_normalized,low,6144,0.062291318985682874
0.0,43,fourier_normalized,middle,6144,0.21169797674806398
0.0,43,fourier_normalized,high,6144,0.11181550504926747
0.0,43,scalar_gate_s1p5_p4,low,6144,0.009321950267906639
0.0,43,scalar_gate_s1p5_p4,middle,6144,0.04514883845271722
0.0,43,scalar_gate_s1p5_p4,high,6144,0.06209262287804752
0.0,43,fourier_gate_s1p5_p4,low,6144,0.009321950715490916
0.0,43,fourier_gate_s1p5_p4,middle,6144,0.04514884017714867
0.0,43,fourier_gate_s1p5_p4,high,6144,0.062092624743353565
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.016023051762155977
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06295035203851602
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.1054813579333616
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.01602305291435654
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06295034234727379
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10548134496107699
0.0,44,score,low,6144,0.014107732159384559
0.0,44,score,middle,6144,0.059221890807334344
0.0,44,score,high,6144,0.08656360358153466
0.0,44,scalar_gaussian,low,6144,0.06390944699923144
0.0,44,scalar_gaussian,middle,6144,0.21790945225473077
0.0,44,scalar_gaussian,high,6144,0.11491846811639712
0.0,44,fourier_gaussian,low,6144,0.06390997953139489
0.0,44,fourier_gaussian,middle,6144,0.21791087959730016
0.0,44,fourier_gaussian,high,6144,0.11491874467167147
0.0,44,scalar_normalized,low,6144,0.06279966313150209
0.0,44,scalar_normalized,middle,6144,0.2127470591254712
0.0,44,scalar_normalized,high,6144,0.1131681015554502
0.0,44,fourier_normalized,low,6144,0.062799703450649
0.0,44,fourier_normalized,middle,6144,0.2127471741366155
0.0,44,fourier_normalized,high,6144,0.11316814205318537
0.0,44,scalar_gate_s1p5_p4,low,6144,0.009500063876616114
0.0,44,scalar_gate_s1p5_p4,middle,6144,0.04565600724934147
0.0,44,scalar_gate_s1p5_p4,high,6144,0.06204850795042997
0.0,44,fourier_gate_s1p5_p4,low,6144,0.009500065194094288
0.0,44,fourier_gate_s1p5_p4,middle,6144,0.04565600947425589
0.0,44,fourier_gate_s1p5_p4,high,6144,0.06204850912570308
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.01670546600240338
