spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.12079870700836182,2048,0.009160470017835489,0.6277593444713282,0.0353823191551081,0.2588996492196584,0.9582771037315002,0.009259506686229973,0.009158416920963773,0.0092188966629152,0.008888376715087153
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.17627345025539398,2048,0.013744240850050722,0.442330561473499,0.07059094462367632,0.1947026056007881,0.9131207826282115,0.014085711091919464,0.013852991479222084,0.013670865036259158,0.013638398227031563
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.25722402334213257,2048,0.02159196719682035,0.3263391348999876,0.1302201914058689,0.16581120764538532,0.8302517269854723,0.021846256088830115,0.02186161462780485,0.021520347324454625,0.021241886341779672
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.37534967064857483,2048,0.035660873246910835,0.2531161729865058,0.21358177331137568,0.16696590113483942,0.7029219340038686,0.036762904007771144,0.03599166792775607,0.035434315406496386,0.03531643967760704
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,4,0.547722578048706,2048,0.05548828148159981,0.18496092439726605,0.28786040742000873,0.19276107464351105,0.5329010923781625,0.05476148269450944,0.05608060557373441,0.05544456637458176,0.05500418393714558
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,5,0.7992547750473022,2048,0.0883498469387603,0.13830418515290277,0.3081840299820301,0.2866788617953756,0.3891787748877061,0.08837091600041187,0.08822016522354807,0.08831057455643389,0.088717049509231
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,6,1.166298747062683,2048,0.1826434455420346,0.13427169561370794,0.24948098571877325,0.7320936504071653,0.35527086175801575,0.17767891783958722,0.1855456044388737,0.18195050114123762,0.1828599128520248
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,7,1.7019013166427612,2048,0.10980347147537989,0.037909435907194845,0.13167808793770341,0.8338780824895304,0.23495548138270383,0.11162375415519117,0.11011428579660532,0.10969647785718921,0.10864384263980423
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,8,2.4834699630737305,2048,0.027686004788342343,0.0044889262087317115,0.031367588044842645,0.8826309740093129,0.13626147378687117,0.02754834155428625,0.02752145918633853,0.027813687422480405,0.0275726532596365
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.12079870700836182,2048,0.009160470768269155,0.6277593958979194,0.0353823191551081,0.25889967042894274,0.9582771129728457,0.009259506925969555,0.009158416692983035,0.00921889897140764,0.008888373602643317
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.17627345025539398,2048,0.013744239637828188,0.4423305224605713,0.07059094462367632,0.19470258842829463,0.9131207747991428,0.014085712476355764,0.013852988129955945,0.013670864408600878,0.013638397163055581
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.25722402334213257,2048,0.02159196156211473,0.3263390497375316,0.1302201914058689,0.1658111643747868,0.8302517176536803,0.021846250930607214,0.021861599278400312,0.021520346826387718,0.021241878307857676
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.37534967064857483,2048,0.03566086971097454,0.2531161478888966,0.21358177331137568,0.16696588457941786,0.7029219290104434,0.036762889948899605,0.03599166025657768,0.035434315828073264,0.03531643438868212
