spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,score,0.008013608837505142,0.0004499186466151733,15.074236419151754,0,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gaussian,-0.07214007260767388,0.00547485703955238,-54.11264034183561,3,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gaussian,-0.07214044629953813,0.005474962786732046,-54.11276896750405,3,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_normalized,-0.06423776798672716,0.0057687186513357865,-51.221251004867455,3,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_normalized,-0.06423780590071608,0.005768715297895542,-51.22126575139424,3,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4,0.022167062498842833,0.0007167430092591007,56.827683725672905,0,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4,0.022167062604289633,0.0007167403873527258,56.82768414961637,0,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,8.329330535479981e-09,3.2897517674983188e-09,1.361567687485632e-05,0,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,score,0.008013600508174607,0.00044992193482425456,15.074220751017675,0,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gaussian,-0.07214008093700441,0.0054748603159646275,-54.11264658970937,3,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gaussian,-0.07214045462886866,0.005474966063125174,-54.11277521536031,3,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_normalized,-0.0642377763160577,0.0057687155144373874,-51.2212576464234,3,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_normalized,-0.06423781423004661,0.005768712161002539,-51.22127239294818,3,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4,0.022167054169512302,0.0007167462989897808,56.82766237252515,0,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4,0.0221670542749591,0.0007167436770833947,56.82766279646854,0,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-8.329330535479981e-09,3.2897517674983188e-09,-1.3615675020783868e-05,3,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,score,-0.002974462901931596,0.0007259754353697401,-5.001823307259434,3,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gaussian,-0.03034900237648029,0.0024255788210543324,-34.947333366124546,3,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gaussian,-0.07289855779350872,0.002745216736925176,-56.339453118555795,3,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_normalized,-0.03698392184202438,0.001111964153204,-39.564715812394816,3,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_normalized,-0.06395729480164503,0.00479138569391337,-53.098447544872116,3,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4,0.013534964764175423,0.0013581353892748215,31.507330715073657,0,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4,0.013579053010155466,0.0013005387895639,31.642436272663655,0,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.003439868004347734,0.0003767965729697615,-5.739524618229542,3,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,score,0.0004654051024161378,0.0003533970543806921,0.7826199772304365,0,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gaussian,-0.02690913437213256,0.00278647453763385,-30.986273546360298,3,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gaussian,-0.06945868978916099,0.003120558643926626,-53.68096044008712,3,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_normalized,-0.03354405383767664,0.0014499647335659768,-35.88480861906083,3,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_normalized,-0.0605174267972973,0.004957398585961657,-50.24260989012747,3,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4,0.016974832768523157,0.0010553912630463238,39.51481804271335,0,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4,0.0170189210145032,0.0009585077309763324,39.658150183828475,0,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0.003439868004347734,0.0003767965729697615,6.089004532370024,0,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,score,-0.00887533777834868,0.001693163009852129,-11.376812495541488,3,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gaussian,-0.005599182935991931,0.0018316379736294415,-7.491912606984674,3,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gaussian,-0.059093353255311766,0.005069885116555464,-46.083683916149376,3,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_normalized,-0.009525683270215935,0.0010366966744710896,-12.109505009735477,3,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_normalized,-0.01595734301444483,0.005169936169486215,-18.752491466400357,3,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4,0.0106049618081542,0.001477804856081474,18.118161728399663,0,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4,0.013610574165293585,0.000916025712952188,24.511806835035287,0,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0.006623436593933278,0.0015504855009741887,10.595168868564286,0,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,score,-0.015498774372281957,0.0009213862497393121,-19.867035412928523,3,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gaussian,-0.01222261952992521,0.0008393524037315746,-16.35431426217574,3,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gaussian,-0.06571678984924505,0.006490573759382315,-51.24894094792971,3,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_normalized,-0.016149119864149214,0.0017934019057568801,-20.529534979310803,3,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_normalized,-0.022580779608378107,0.003755566588234859,-26.536114221989713,3,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4,0.003981525214220921,0.00046403027988491346,6.802279825419877,0,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,fourier_gate_s1p5_p4,0.006987137571360306,0.0007437834601537152,12.583404961395829,0,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.006623436593933278,0.0015504855009741887,-9.580137158754198,3,3
