spectrum_lambda,method,n_seeds,score_error_mean,score_error_sd,unweighted_score_error_mean,unweighted_score_error_sd
0.0,score,3,0.053160960294638106,0.00018080334971632577,0.21251993461441995,0.00099681647851366
0.0,scalar_gaussian,3,0.13331464173981714,0.0048710773309086335,0.8983156182085429,0.034802059474765
0.0,fourier_gaussian,3,0.13331501543168137,0.004871193195927368,0.898318931799654,0.034803053071966794
0.0,scalar_normalized,3,0.12541233711887043,0.006382468720740678,0.8483613680151265,0.04225620794006343
0.0,fourier_normalized,3,0.12541237503285932,0.006382464853033397,0.8483616320258082,0.04225626542127953
0.0,scalar_gate_s1p5_p4,3,0.03900750663330041,0.00013347538131767885,0.1509370198624751,0.0012694577007373302
0.0,fourier_gate_s1p5_p4,3,0.03900750652785361,0.0001334738483193547,0.15093702471016554,0.0012694623753299605
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.061174569132143246,0.0006217540060646413,0.2506660364673722,0.010276784909950229
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.061174560802812715,0.0006217572649915248,0.2506660431691394,0.010276814500850091
0.5,score,3,0.05946757250730125,0.0005712700293631737,0.294264866653845,0.005784283167873898
0.5,scalar_gaussian,3,0.08684211198184995,0.003324840228508311,0.6283078229445295,0.02808226171165786
0.5,fourier_gaussian,3,0.1293916673988784,0.0035896130337859365,1.006601578579134,0.024564532490991366
0.5,scalar_normalized,3,0.09347703144739404,0.002032060327435047,0.7241726383799523,0.015380355227845796
0.5,fourier_normalized,3,0.12045040440701467,0.004747370047415162,0.9444746571755006,0.03795542611549682
0.5,scalar_gate_s1p5_p4,3,0.042958144841194236,0.00043803026447784593,0.20300979204131894,0.0034283810672419354
0.5,fourier_gate_s1p5_p4,3,0.04291405659521419,0.00043726646088285945,0.20826302784374406,0.004200272930018147
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05649310960536966,0.0009204532052391053,0.2695752616024126,0.009261802158648457
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.059932977609717386,0.0006352266905386158,0.27281069475909,0.0067960601575540866
1.0,score,3,0.07801251696665377,0.0010119468488183766,0.6768594570128554,0.019068766027144416
1.0,scalar_gaussian,3,0.07473636212429702,0.0007801754989954726,0.6256043030495262,0.012856058417124274
1.0,fourier_gaussian,3,0.12823053244361685,0.006293119788934779,1.5150657187920047,0.05983657544637079
1.0,scalar_normalized,3,0.07866286245852101,0.0015948040489994284,0.7887721117560486,0.020530002816632406
1.0,fourier_normalized,3,0.08509452220274992,0.0038652619109737158,1.0231348722483815,0.04194740208645769
1.0,scalar_gate_s1p5_p4,3,0.05853221738015089,0.0005411261236692999,0.4922004876855876,0.009690303079212098
1.0,fourier_gate_s1p5_p4,3,0.05552660502301151,0.0006424347255800765,0.48190986296960253,0.012286468362017793
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06913717918830509,0.0013797523738400704,0.5912682855121779,0.019502627502720946
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.0625137425943718,0.00019977621703112753,0.430705069877052,0.0030830742361844885
