spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.6399999856948853,1024,0.1107715585837343,0.27043838753810795,0.2448417744610408,0.45242099240446515,0.40273379611666055,0.12064965746273695,0.1684491593188181,0.0938025780131456,0.06685080672191902
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.7599999904632568,1024,0.1278483703723485,0.22134413708608,0.2269845591009603,0.5632469930057353,0.36773209528832224,0.1560475932317203,0.2001686344510487,0.10170320216840686,0.08238341252545457
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.800000011920929,1024,0.1334771940970948,0.20855810956119455,0.21989723159226174,0.6069980650988419,0.3571926962312819,0.18266741865817065,0.2140857737260106,0.10266808515558712,0.07923511711300929
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.8199999928474426,1024,0.1363186721650263,0.20273449515636716,0.2184232309852115,0.6241033591076942,0.3546437330063586,0.1943204238559541,0.21862368022283513,0.10492512642587827,0.07637330191518761
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,4,0.8399999737739563,1024,0.13055618109670433,0.18502861288126313,0.21437325114174302,0.6090133932352453,0.3443665585422869,0.16988859279218155,0.21455904960759312,0.10041672564509282,0.07322657339705817
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,5,0.8600000143051147,1024,0.1270986315875,0.1718477925354514,0.2107039839636672,0.6032094372236279,0.33301537018617183,0.17731240196096829,0.20515965728043967,0.09899924111627159,0.06658018859498803
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,6,0.8799999952316284,1024,0.12512136335141652,0.16157201021097983,0.20863266561291466,0.5997208681767968,0.3267224499246844,0.18813290950436928,0.2062271696970346,0.0950959609744052,0.05935614652072004
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,7,0.8999999761581421,1024,0.12815459905393844,0.15821556277014037,0.20558633399065118,0.6233614684707892,0.3260150200766364,0.19014367718242578,0.2097469269080221,0.09938611576970878,0.05734413187127542
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,8,0.9200000166893005,1024,0.13047278717823493,0.1541502628125477,0.20194060688933535,0.6460948552548166,0.32294737395955525,0.1986728160340424,0.2156322997585881,0.10056228671555811,0.05418441719671551
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,9,0.9399999976158142,1024,0.13186093793032672,0.1492314832494595,0.20040485831399116,0.6579727609384054,0.31673874836307053,0.20096005357530905,0.22271691206055963,0.10014204415677218,0.05177774059612855
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,10,0.9599999785423279,1024,0.13557858905136763,0.14711219087695646,0.19577920089059264,0.6925076230499738,0.31666714662070383,0.1996841901028636,0.23451242870863143,0.1016634196446703,0.05220595794625761
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,11,0.9800000190734863,1024,0.13748265764628642,0.1431514497029444,0.19225082413898947,0.715121291479573,0.31244405039268225,0.20811626270400113,0.24053330009891147,0.10131655845736202,0.051668109634381496
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,12,1.0,1024,0.13732724487622622,0.13732724487622622,0.18887074724535083,0.7270964237666329,0.3064276577474608,0.21092040176538768,0.24038797052583138,0.10099575775263832,0.050475374583170564
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,13,1.0499999523162842,1024,0.1349017407235535,0.12235986664504013,0.1802818250632011,0.748282533063226,0.29586348938717666,0.21459872695694032,0.23491758513985733,0.09856977458988565,0.05007378591432156
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,14,1.2000000476837158,1024,0.12411196825352744,0.08618885999305208,0.15447155068843849,0.8034616581525433,0.26744497567495507,0.21824465500500884,0.22061097240604957,0.086377792400418,0.04281357700996738
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.6399999856948853,1024,0.0940906283702511,0.22971345843855007,0.2448417744610408,0.38429156371443796,0.38558781947720244,0.11703313665114949,0.13096456646353327,0.08084535091975881,0.06582883752799912
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.7599999904632568,1024,0.11154529425805709,0.1931185890884264,0.2269845591009603,0.49142238881739503,0.35130738269397044,0.15090801915262791,0.15838538721961054,0.0930559166483567,0.07625459724384655
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.800000011920929,1024,0.11887006463937692,0.18573447046370783,0.21989723159226174,0.5405709920886517,0.3432638778627022,0.17214973487143828,0.17175584725979046,0.09670611235849622,0.07898156513526818
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.8199999928474426,1024,0.12003817676045964,0.17852197926019794,0.2184232309852115,0.5495668945973375,0.33838192753825735,0.17954494963849452,0.1754986753119207,0.09697607653994096,0.07550590634757995
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,4,0.8399999737739563,1024,0.11684582290572915,0.16559783191883315,0.21437325114174302,0.5450578478584113,0.3301562863489561,0.17003617570858828,0.17818277647941724,0.09370103059860324,0.06568803593339304
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,5,0.8600000143051147,1024,0.11356030404767564,0.15354286137072015,0.2107039839636672,0.5389566059047912,0.3204479140832087,0.1816482894430584,0.17623908807819838,0.08942352835172424,0.05548807095846129
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,6,0.8799999952316284,1024,0.11402845872341026,0.1472474947819737,0.20863266561291466,0.5465513197006852,0.31616171673108795,0.18564753046887134,0.1824548192608753,0.08865051001088017,0.04846547304555207
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,7,0.8999999761581421,1024,0.12250637002369966,0.15124244014113697,0.20558633399065118,0.5958877112389703,0.320981583450222,0.18236151232547815,0.19681842018824247,0.09779843330156751,0.05048429606935704
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,8,0.9200000166893005,1024,0.1303068906511942,0.15395426030661452,0.20194060688933535,0.6452733437738114,0.3222856386863975,0.19734782469971435,0.20562107365990784,0.10543395335188685,0.05313447618390879
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,9,0.9399999976158142,1024,0.14114321067400742,0.15973654525802358,0.20040485831399116,0.7042903643227375,0.32572134510436485,0.21102212995784542,0.2206880821498916,0.11593052740767976,0.05615639856531899
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,10,0.9599999785423279,1024,0.1519505599423796,0.16487691703027257,0.19577920089059264,0.7761322921493289,0.3336320051087974,0.21377360246836022,0.23615835366332316,0.12693398446908835,0.06240874371203574
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,11,0.9800000190734863,1024,0.1577929591218836,0.16429920135330772,0.19225082413898947,0.8207660998519608,0.33226578243075117,0.2290316335970132,0.2405829258517413,0.13246578991394542,0.06671417167927562
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,12,1.0,1024,0.1582190060763348,0.1582190060763348,0.18887074724535083,0.8377104892310392,0.3280634550638649,0.23005154060394423,0.24273350077648886,0.13179452440867911,0.0678898715051993
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,13,1.0499999523162842,1024,0.1534955604364381,0.13922501077355653,0.1802818250632011,0.8514200495952792,0.3140545846217223,0.2402185548112962,0.23834101942420066,0.12522323616256503,0.061286305951237505
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,14,1.2000000476837158,1024,0.13712914098902157,0.09522856256317863,0.15447155068843849,0.8877307204975516,0.2802777251325873,0.23974777153112012,0.22704482195181944,0.10294532457279698,0.04940755321528594
1.0,42,score,0,0.6399999856948853,1024,0.0970962746313907,0.23705146233381974,0.2448417744610408,0.3965674356229625,0.3881154186616576,0.12048480925445992,0.14702989219708118,0.08307187449988666,0.048312835776362216
1.0,42,score,1,0.7599999904632568,1024,0.10105758990351829,0.1749612057474543,0.2269845591009603,0.44521790514644194,0.3417092671052446,0.14547686193269152,0.1606591979658792,0.0804128007908923,0.048413227757478694
1.0,42,score,2,0.800000011920929,1024,0.09950280290670382,0.1554731249082645,0.21989723159226174,0.45249684221220254,0.3238226766094553,0.16183508402222618,0.15960995053614757,0.07627171401813396,0.04577849785811088
1.0,42,score,3,0.8199999928474426,1024,0.10183242035486763,0.15144619591219646,0.2184232309852115,0.46621607003772536,0.32133908419167345,0.17168656732718476,0.16321058133092725,0.07750912566739096,0.04579583245438625
1.0,42,score,4,0.8399999737739563,1024,0.1024321174639509,0.14517024356592392,0.21437325114174302,0.4778213555954472,0.31563987924557885,0.16995966491854844,0.16708163319058328,0.07702143173827893,0.045980264772144584
1.0,42,score,5,0.8600000143051147,1024,0.10247783502596555,0.13855845269978756,0.2107039839636672,0.4863592661999041,0.30848302783051307,0.1746906166136276,0.1659477443065736,0.07613478716197378,0.049042409575707935
1.0,42,score,6,0.8799999952316284,1024,0.10099718364025698,0.1304199183042155,0.20863266561291466,0.48409094205622377,0.3033315069969544,0.17960807192821585,0.166277125836893,0.07289131310452006,0.04744897048793298
1.0,42,score,7,0.8999999761581421,1024,0.10402114647609705,0.1284211752930073,0.20558633399065118,0.5059730598670401,0.30164588390052693,0.17767745395211226,0.16974466428928098,0.0772198817074288,0.047508388669841736
1.0,42,score,8,0.9200000166893005,1024,0.10468851321773062,0.12368680224423151,0.20194060688933535,0.518412392783887,0.297035203912785,0.188916594247599,0.16811840199324637,0.07733223539030318,0.04847682661494612
1.0,42,score,9,0.9399999976158142,1024,0.10301015199114354,0.11658007301232098,0.20040485831399116,0.5140102533330247,0.28726619362919886,0.19410151103528345,0.16938409489946687,0.07345448307313575,0.04606046993096484
1.0,42,score,10,0.9599999785423279,1024,0.10472600345553772,0.1136349914682672,0.19577920089059264,0.53491894429614,0.28673799387721266,0.19329711367435937,0.17179276532260235,0.07540200835380463,0.04706956928795807
1.0,42,score,11,0.9800000190734863,1024,0.10256203980888302,0.10679095774323852,0.19225082413898947,0.5334803648734159,0.2782840247193464,0.2024180300325491,0.16669473916769595,0.07265453623862217,0.04605670431216444
1.0,42,score,12,1.0,1024,0.1028056663452368,0.1028056663452368,0.18887074724535083,0.5443175708501223,0.2724584274755665,0.20169635319993978,0.16656643874031868,0.07323319394447993,0.04623214068200448
1.0,42,score,13,1.0499999523162842,1024,0.10295332804707291,0.09338171192555594,0.1802818250632011,0.5710688141246669,0.2639963771201582,0.20984664069671516,0.1634779957596233,0.07342846162987407,0.0475071293288222
1.0,42,score,14,1.2000000476837158,1024,0.09887049863647776,0.06866006304094234,0.15447155068843849,0.6400563611606042,0.24150823110583403,0.20811218767690204,0.15755080895374382,0.068300966590736,0.04934501855612678
1.0,42,scalar_gaussian,0,0.6399999856948853,1024,0.11993967498562921,0.29282148522302415,0.2448417744610408,0.4898660583948431,0.4107511092587256,0.09650702755871084,0.1762400526439888,0.11194739487089611,0.06306131037471407
1.0,42,scalar_gaussian,1,0.7599999904632568,1024,0.1281405750228611,0.22185003157681057,0.2269845591009603,0.5645343257285865,0.36857894760726073,0.12147662187479061,0.19986467070286335,0.1127424776937271,0.06250385769518044
