spectrum_lambda,seed,method,band,score_error
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.04048220968508945
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04025837491445561
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04073447421567101
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04076528359116002
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.040482212427675406
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.040258373710754906
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04073447223769188
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04076527924652905
0.0,42,score,0,0.05424318251782174
0.0,42,score,1,0.05350583596591786
0.0,42,score,2,0.05297587770455338
0.0,42,score,3,0.053796241502997194
0.0,42,scalar_gaussian,0,0.14557340974522784
0.0,42,scalar_gaussian,1,0.13587174046813277
0.0,42,scalar_gaussian,2,0.1396133196604876
0.0,42,scalar_gaussian,3,0.13563402125078663
0.0,42,fourier_gaussian,0,0.1455737671659196
0.0,42,fourier_gaussian,1,0.13587205415715076
0.0,42,fourier_gaussian,2,0.1396136764066576
0.0,42,fourier_gaussian,3,0.13563443159581937
0.0,42,scalar_normalized,0,0.1172901152591909
0.0,42,scalar_normalized,1,0.11682891692696261
0.0,42,scalar_normalized,2,0.12029697329781969
0.0,42,scalar_normalized,3,0.11583594513563537
0.0,42,fourier_normalized,0,0.11729016239003959
0.0,42,fourier_normalized,1,0.1168289639602703
0.0,42,fourier_normalized,2,0.12029701544595778
0.0,42,fourier_normalized,3,0.11583599951748542
0.0,42,scalar_gate_s1p5_p4,0,0.039385912909163795
0.0,42,scalar_gate_s1p5_p4,1,0.03920249423225888
0.0,42,scalar_gate_s1p5_p4,2,0.0393208489378806
0.0,42,scalar_gate_s1p5_p4,3,0.03963888601026608
0.0,42,fourier_gate_s1p5_p4,0,0.03938589831591117
0.0,42,fourier_gate_s1p5_p4,1,0.03920248039203292
0.0,42,fourier_gate_s1p5_p4,2,0.039320839059900366
0.0,42,fourier_gate_s1p5_p4,3,0.03963887487226527
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06050894022868272
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06065024202120109
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06068717561484898
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06023697001353058
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06050892054810548
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06065022655200462
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.060687167150617775
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06023695814781744
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.04041853789349012
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.040387640268667785
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04031991332820006
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04028709799560556
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.04041853871448033
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04038764088168753
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.040319914965441836
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.040287099446027715
0.0,43,score,0,0.05409062812800422
0.0,43,score,1,0.053109182410214215
0.0,43,score,2,0.05350779773892475
0.0,43,score,3,0.05336128106261931
0.0,43,scalar_gaussian,0,0.12287529340872842
0.0,43,scalar_gaussian,1,0.12595126341983093
0.0,43,scalar_gaussian,2,0.13054510903219002
0.0,43,scalar_gaussian,3,0.13060752909325618
0.0,43,fourier_gaussian,0,0.12287528347475868
0.0,43,fourier_gaussian,1,0.12595126720963967
0.0,43,fourier_gaussian,2,0.13054511535125918
0.0,43,fourier_gaussian,3,0.13060753714157744
0.0,43,scalar_normalized,0,0.11921055397718112
0.0,43,scalar_normalized,1,0.12824732221589236
0.0,43,scalar_normalized,2,0.12970421658132747
0.0,43,scalar_normalized,3,0.12784130435373176
0.0,43,fourier_normalized,0,0.1192105533302896
0.0,43,fourier_normalized,1,0.12824732187592802
0.0,43,fourier_normalized,2,0.1297042215864024
0.0,43,fourier_normalized,3,0.1278413085113267
0.0,43,scalar_gate_s1p5_p4,0,0.03920513352879433
0.0,43,scalar_gate_s1p5_p4,1,0.0388847512279151
0.0,43,scalar_gate_s1p5_p4,2,0.038929162324227135
0.0,43,scalar_gate_s1p5_p4,3,0.038700045049369775
0.0,43,fourier_gate_s1p5_p4,0,0.03920513259066079
0.0,43,fourier_gate_s1p5_p4,1,0.03888475051972326
0.0,43,fourier_gate_s1p5_p4,2,0.038929164173077034
0.0,43,fourier_gate_s1p5_p4,3,0.03870004162771032
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06178546474946413
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.061311575733759255
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06128604992127107
0.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06184915882762779
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.0617854507670001
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.061311566468165
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06128604427723842
0.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06184915438500042
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.040619981104228556
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04039977549000362
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04072871133951189
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04070050756631319
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.04061999120948719
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04039977341377807
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04072871170959924
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04070050729245142
0.0,44,score,0,0.054560073102155125
0.0,44,score,1,0.05296927392247837
0.0,44,score,2,0.05356106783312063
0.0,44,score,3,0.05344837296757274
0.0,44,scalar_gaussian,0,0.1289706422600213
0.0,44,scalar_gaussian,1,0.1348204097654093
0.0,44,scalar_gaussian,2,0.1329639017736628
0.0,44,scalar_gaussian,3,0.13178853275977304
0.0,44,fourier_gaussian,0,0.12897105286163976
0.0,44,fourier_gaussian,1,0.13482136692488786
0.0,44,fourier_gaussian,2,0.13296452275874093
0.0,44,fourier_gaussian,3,0.13178942785291967
0.0,44,scalar_normalized,0,0.12701978342101672
0.0,44,scalar_normalized,1,0.13463839825668733
0.0,44,scalar_normalized,2,0.12857275630448753
0.0,44,scalar_normalized,3,0.12727523713973024
0.0,44,fourier_normalized,0,0.12701990763743887
0.0,44,fourier_normalized,1,0.1346384823237424
0.0,44,fourier_normalized,2,0.12857280437097732
0.0,44,fourier_normalized,3,0.12727526902939912
0.0,44,scalar_gate_s1p5_p4,0,0.0397927515383382
0.0,44,scalar_gate_s1p5_p4,1,0.039034713886469875
0.0,44,scalar_gate_s1p5_p4,2,0.03924674701825673
0.0,44,scalar_gate_s1p5_p4,3,0.039357949178675716
0.0,44,fourier_gate_s1p5_p4,0,0.03979276783852506
0.0,44,fourier_gate_s1p5_p4,1,0.03903470909053206
0.0,44,fourier_gate_s1p5_p4,2,0.039246746803883174
0.0,44,fourier_gate_s1p5_p4,3,0.03935795926490804
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.0609324351938204
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.061376332148562675
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06140585965586446
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06155632996568884
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.06093241298510372
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06137632584659081
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.06140585115272891
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06155631860113472
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.0730841284280544
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04913185603579313
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.037863287291134376
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03622925111808309
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.07373500134164748
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04887998163378773
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03833608766328353
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03677984040024713
0.5,42,score,0,0.08447187792064094
0.5,42,score,1,0.062313596567638845
0.5,42,score,2,0.05413473480947689
0.5,42,score,3,0.053328634019060656
0.5,42,scalar_gaussian,0,0.06875642413234309
0.5,42,scalar_gaussian,1,0.08480369271907756
0.5,42,scalar_gaussian,2,0.08502373666708453
0.5,42,scalar_gaussian,3,0.08078968024502958
0.5,42,fourier_gaussian,0,0.1035967220106425
0.5,42,fourier_gaussian,1,0.1234551752342455
0.5,42,fourier_gaussian,2,0.13172424638562436
0.5,42,fourier_gaussian,3,0.12325884779828865
0.5,42,scalar_normalized,0,0.06498859748010088
0.5,42,scalar_normalized,1,0.08870055401703988
0.5,42,scalar_normalized,2,0.09594222545548854
0.5,42,scalar_normalized,3,0.0886875605161949
0.5,42,fourier_normalized,0,0.09933157769186707
0.5,42,fourier_normalized,1,0.12325964842187748
0.5,42,fourier_normalized,2,0.1263006807994893
0.5,42,fourier_normalized,3,0.11947416347225134
0.5,42,scalar_gate_s1p5_p4,0,0.07387266246473181
0.5,42,scalar_gate_s1p5_p4,1,0.04805533397987059
0.5,42,scalar_gate_s1p5_p4,2,0.03740734596268792
0.5,42,scalar_gate_s1p5_p4,3,0.036158881905960005
0.5,42,fourier_gate_s1p5_p4,0,0.07333139753722738
0.5,42,fourier_gate_s1p5_p4,1,0.048058653146075124
0.5,42,fourier_gate_s1p5_p4,2,0.03713190813483703
0.5,42,fourier_gate_s1p5_p4,3,0.035428002195003215
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.07552916171952191
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06553352717995774
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.04950830423758737
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.04619232126351054
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.08319182693096674
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06569570160283211
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.05381151046371547
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05125824382594349
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.0715937690478023
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04884195339964838
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03732318317696175
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03587155895859496
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.07228790379727318
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.0489697191780996
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03845875494107337
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.036873485774259356
0.5,43,score,0,0.08667325001916426
0.5,43,score,1,0.06320702256103967
0.5,43,score,2,0.05550036472662878
0.5,43,score,3,0.05424210776735832
0.5,43,scalar_gaussian,0,0.07024790041204769
0.5,43,scalar_gaussian,1,0.0850056262716245
0.5,43,scalar_gaussian,2,0.08872293255320962
0.5,43,scalar_gaussian,3,0.08303832058654492
0.5,43,fourier_gaussian,0,0.10140196643973967
0.5,43,fourier_gaussian,1,0.12237275565039367
0.5,43,fourier_gaussian,2,0.13244752495727108
0.5,43,fourier_gaussian,3,0.13427930827495033
0.5,43,scalar_normalized,0,0.06773915744086821
0.5,43,scalar_normalized,1,0.09159970623674524
0.5,43,scalar_normalized,2,0.09767017825461444
0.5,43,scalar_normalized,3,0.0897484805279212
0.5,43,fourier_normalized,0,0.09281954082913503
0.5,43,fourier_normalized,1,0.11477598747361724
0.5,43,fourier_normalized,2,0.11787232881166225
0.5,43,fourier_normalized,3,0.11618117025258111
0.5,43,scalar_gate_s1p5_p4,0,0.07099807827002264
0.5,43,scalar_gate_s1p5_p4,1,0.04776474330025055
0.5,43,scalar_gate_s1p5_p4,2,0.03723995555045589
0.5,43,scalar_gate_s1p5_p4,3,0.03606299206212864
0.5,43,fourier_gate_s1p5_p4,0,0.07299272802521806
0.5,43,fourier_gate_s1p5_p4,1,0.04819814330140776
0.5,43,fourier_gate_s1p5_p4,2,0.037358096637014795
0.5,43,fourier_gate_s1p5_p4,3,0.03555265713656221
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.07680808330769193
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06597341044697176
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.05047709551338295
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.047230369058459815
0.5,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.08437406106863442
