method,sigma,gate_min,gate_max,max_scale_ratio
fourier_normalized,0.10000000149011612,1.0,1.0,1.0
fourier_normalized,0.10114401578903198,1.0,1.0,1.0
fourier_normalized,0.10230112820863724,1.0,1.0,1.0
fourier_normalized,0.10347146540880203,1.0,1.0,1.0
fourier_normalized,0.1046551987528801,1.0,1.0,1.0
fourier_normalized,0.10585247725248337,1.0,1.0,1.0
fourier_normalized,0.10706344991922379,1.0,1.0,1.0
fourier_normalized,0.10828827321529388,1.0,1.0,1.0
fourier_normalized,0.1095271110534668,1.0,1.0,1.0
fourier_normalized,0.11078011989593506,1.0,1.0,1.0
fourier_normalized,0.1120474711060524,1.0,1.0,1.0
fourier_normalized,0.11332931369543076,1.0,1.0,1.0
fourier_normalized,0.11462581902742386,1.0,1.0,1.0
fourier_normalized,0.11593715846538544,1.0,1.0,1.0
fourier_normalized,0.11726350337266922,1.0,1.0,1.0
fourier_normalized,0.11860501766204834,1.0,1.0,1.0
fourier_normalized,0.11996188014745712,1.0,1.0,1.0
fourier_normalized,0.1213342696428299,1.0,1.0,1.0
fourier_normalized,0.12272235751152039,1.0,1.0,1.0
fourier_normalized,0.12412632256746292,1.0,1.0,1.0
fourier_normalized,0.12554635107517242,1.0,1.0,1.0
fourier_normalized,0.12698262929916382,1.0,1.0,1.0
fourier_normalized,0.12843532860279083,1.0,1.0,1.0
fourier_normalized,0.12990465760231018,1.0,1.0,1.0
fourier_normalized,0.131390780210495,1.0,1.0,1.0
fourier_normalized,0.13289391994476318,1.0,1.0,1.0
fourier_normalized,0.13441425561904907,1.0,1.0,1.0
fourier_normalized,0.13595198094844818,1.0,1.0,1.0
fourier_normalized,0.13750728964805603,1.0,1.0,1.0
fourier_normalized,0.13908040523529053,1.0,1.0,1.0
fourier_normalized,0.140671506524086,1.0,1.0,1.0
fourier_normalized,0.14228081703186035,1.0,1.0,1.0
fourier_normalized,0.1439085304737091,1.0,1.0,1.0
fourier_normalized,0.14555487036705017,1.0,1.0,1.0
fourier_normalized,0.14722004532814026,1.0,1.0,1.0
fourier_normalized,0.14890427887439728,1.0,1.0,1.0
fourier_normalized,0.15060776472091675,1.0,1.0,1.0
fourier_normalized,0.15233075618743896,1.0,1.0,1.0
fourier_normalized,0.15407344698905945,1.0,1.0,1.0
fourier_normalized,0.1558360755443573,1.0,1.0,1.0
fourier_normalized,0.15761886537075043,1.0,1.0,1.0
fourier_normalized,0.15942205488681793,1.0,1.0,1.0
fourier_normalized,0.16124586760997772,1.0,1.0,1.0
fourier_normalized,0.1630905568599701,1.0,1.0,1.0
fourier_normalized,0.16495634615421295,1.0,1.0,1.0
fourier_normalized,0.1668434739112854,1.0,1.0,1.0
fourier_normalized,0.16875219345092773,1.0,1.0,1.0
fourier_normalized,0.17068274319171906,1.0,1.0,1.0
fourier_normalized,0.17263539135456085,1.0,1.0,1.0
fourier_normalized,0.17461037635803223,1.0,1.0,1.0
fourier_normalized,0.17660795152187347,1.0,1.0,1.0
fourier_normalized,0.1786283701658249,1.0,1.0,1.0
fourier_normalized,0.18067191541194916,1.0,1.0,1.0
fourier_normalized,0.18273884057998657,1.0,1.0,1.0
fourier_normalized,0.18482939898967743,1.0,1.0,1.0
fourier_normalized,0.1869438886642456,1.0,1.0,1.0
fourier_normalized,0.1890825629234314,1.0,1.0,1.0
fourier_normalized,0.1912456899881363,1.0,1.0,1.0
fourier_normalized,0.19343358278274536,1.0,1.0,1.0
fourier_normalized,0.1956464946269989,1.0,1.0,1.0
fourier_normalized,0.19788473844528198,1.0,1.0,1.0
fourier_normalized,0.2001485675573349,1.0,1.0,1.0
fourier_normalized,0.20243830978870392,1.0,1.0,1.0
fourier_normalized,0.20475423336029053,1.0,1.0,1.0
fourier_normalized,0.207096666097641,1.0,1.0,1.0
fourier_normalized,0.209465891122818,1.0,1.0,1.0
fourier_normalized,0.2118622213602066,1.0,1.0,1.0
fourier_normalized,0.2142859548330307,1.0,1.0,1.0
fourier_normalized,0.21673743426799774,1.0,1.0,1.0
fourier_normalized,0.2192169427871704,1.0,1.0,1.0
fourier_normalized,0.22172483801841736,1.0,1.0,1.0
fourier_normalized,0.22426140308380127,1.0,1.0,1.0
fourier_normalized,0.2268269956111908,1.0,1.0,1.0
fourier_normalized,0.2294219434261322,1.0,1.0,1.0
fourier_normalized,0.23204657435417175,1.0,1.0,1.0
fourier_normalized,0.2347012311220169,1.0,1.0,1.0
fourier_normalized,0.23738625645637512,1.0,1.0,1.0
fourier_normalized,0.24010199308395386,1.0,1.0,1.0
fourier_normalized,0.24284881353378296,1.0,1.0,1.0
fourier_normalized,0.2456270456314087,1.0,1.0,1.0
fourier_normalized,0.2484370619058609,1.0,1.0,1.0
fourier_normalized,0.25127923488616943,1.0,1.0,1.0
fourier_normalized,0.25415390729904175,1.0,1.0,1.0
fourier_normalized,0.2570614814758301,1.0,1.0,1.0
fourier_normalized,0.2600023150444031,1.0,1.0,1.0
fourier_normalized,0.2629767954349518,1.0,1.0,1.0
fourier_normalized,0.26598528027534485,1.0,1.0,1.0
fourier_normalized,0.2690282166004181,1.0,1.0,1.0
fourier_normalized,0.2721059322357178,1.0,1.0,1.0
fourier_normalized,0.2752188742160797,1.0,1.0,1.0
fourier_normalized,0.27836742997169495,1.0,1.0,1.0
fourier_normalized,0.2815520167350769,1.0,1.0,1.0
fourier_normalized,0.2847730219364166,1.0,1.0,1.0
fourier_normalized,0.28803086280822754,1.0,1.0,1.0
fourier_normalized,0.29132601618766785,1.0,1.0,1.0
fourier_normalized,0.2946588397026062,1.0,1.0,1.0
fourier_normalized,0.2980297803878784,1.0,1.0,1.0
fourier_normalized,0.3014392852783203,1.0,1.0,1.0
fourier_normalized,0.3048878312110901,1.0,1.0,1.0
fourier_normalized,0.3083757758140564,1.0,1.0,1.0
fourier_normalized,0.3119036555290222,1.0,1.0,1.0
fourier_normalized,0.315471887588501,1.0,1.0,1.0
fourier_normalized,0.3190809488296509,1.0,1.0,1.0
fourier_normalized,0.3227313160896301,1.0,1.0,1.0
fourier_normalized,0.32642340660095215,1.0,1.0,1.0
fourier_normalized,0.3301577568054199,1.0,1.0,1.0
fourier_normalized,0.33393481373786926,1.0,1.0,1.0
fourier_normalized,0.33775508403778076,1.0,1.0,1.0
fourier_normalized,0.341619074344635,1.0,1.0,1.0
fourier_normalized,0.3455272614955902,1.0,1.0,1.0
fourier_normalized,0.34948015213012695,1.0,1.0,1.0
fourier_normalized,0.3534782826900482,1.0,1.0,1.0
fourier_normalized,0.3575221300125122,1.0,1.0,1.0
fourier_normalized,0.3616122603416443,1.0,1.0,1.0
fourier_normalized,0.36574918031692505,1.0,1.0,1.0
fourier_normalized,0.3699333965778351,1.0,1.0,1.0
fourier_normalized,0.37416550517082214,1.0,1.0,1.0
fourier_normalized,0.3784460425376892,1.0,1.0,1.0
fourier_normalized,0.38277551531791687,1.0,1.0,1.0
fourier_normalized,0.38715454936027527,1.0,1.0,1.0
fourier_normalized,0.3915836811065674,1.0,1.0,1.0
fourier_normalized,0.3960634768009186,1.0,1.0,1.0
fourier_normalized,0.4005945026874542,1.0,1.0,1.0
fourier_normalized,0.40517738461494446,1.0,1.0,1.0
fourier_normalized,0.40981268882751465,1.0,1.0,1.0
fourier_normalized,0.41450101137161255,1.0,1.0,1.0
fourier_normalized,0.4192429780960083,1.0,1.0,1.0
fourier_normalized,0.42403921484947205,1.0,1.0,1.0
fourier_normalized,0.42889028787612915,1.0,1.0,1.0
fourier_normalized,0.43379688262939453,1.0,1.0,1.0
fourier_normalized,0.43875959515571594,1.0,1.0,1.0
fourier_normalized,0.4437790811061859,1.0,1.0,1.0
fourier_normalized,0.448855996131897,1.0,1.0,1.0
fourier_normalized,0.45399099588394165,1.0,1.0,1.0
