spectrum_lambda,method,region,score_error_mean,score_error_sd,n_seeds
0.0,score,low,0.014282013783975672,1.550682600483905e-05,3
0.0,score,middle,0.05899170463625935,0.00035297712276767307,3
0.0,score,high,0.08695741324727642,0.00047233265375658533,3
0.0,scalar_gaussian,low,0.06476108837454814,0.0023427521613081596,3
0.0,scalar_gaussian,middle,0.2195408481260561,0.008763937874739697,3
0.0,scalar_gaussian,high,0.11603902176992346,0.003634407965609045,3
0.0,fourier_gaussian,low,0.06476134618282753,0.002342826813200738,3
0.0,fourier_gaussian,middle,0.21954154172034857,0.008764238789879482,3
0.0,fourier_gaussian,high,0.1160391557383497,0.003634478904579967,3
0.0,scalar_normalized,low,0.06111857275371054,0.0032613689902615517,3
0.0,scalar_normalized,middle,0.205758367450621,0.010705824088752144,3
0.0,scalar_normalized,high,0.10973435685168524,0.004348141386384675,3
0.0,fourier_normalized,low,0.061118593542773235,0.003261373561586925,3
0.0,fourier_normalized,middle,0.20575842208656095,0.010705823248830659,3
0.0,fourier_normalized,high,0.10973439075481058,0.004348125120984249,3
0.0,scalar_gate_s1p5_p4,low,0.009516410133607328,0.00013621194012537603,3
0.0,scalar_gate_s1p5_p4,middle,0.04494717470771865,0.0004174689324938948,3
0.0,scalar_gate_s1p5_p4,high,0.06303691583218933,0.00039169302232779237,3
0.0,fourier_gate_s1p5_p4,low,0.00951641067388702,0.00013621095502546347,3
0.0,fourier_gate_s1p5_p4,middle,0.04494716912634083,0.0004174682103284924,3
0.0,fourier_gate_s1p5_p4,high,0.06303691108882385,0.000391684204015569,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.015551155195322982,0.0005597893537325411,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06140889073845734,0.0014852398823931062,3
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.10643394820849002,0.0007435973796899968,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01555115553909763,0.000559790300751763,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.061408876612800735,0.00148524048107984,3
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.10643393396239352,0.0007435946804436801,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.009531622337208076,7.585664491046473e-05,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.0446080962276166,0.0003728426993190828,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06743430735075036,0.0002774956780414104,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.009531622934313587,7.585562634612756e-05,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.04460809736623531,0.0003728441953334376,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06743430558625949,0.00027749481983796264,3
0.5,score,low,0.020917342099574684,0.0004597778693234819,3
0.5,score,middle,0.06498124246890925,0.0007578019517734054,3
0.5,score,high,0.09126122235572577,0.0011003354634768019,3
0.5,scalar_gaussian,low,0.04590176720786007,0.0021408894591301918,3
0.5,scalar_gaussian,middle,0.13169310644049123,0.00582311824694984,3
0.5,scalar_gaussian,high,0.08050749506610838,0.0016462949246494152,3
0.5,fourier_gaussian,low,0.07511460502699129,0.0017530552401418351,3
0.5,fourier_gaussian,middle,0.21266853336193178,0.006028924124220035,3
0.5,fourier_gaussian,high,0.09894296548305082,0.0024297770653382658,3
0.5,scalar_normalized,low,0.053519707792992054,0.0012749667153753533,3
0.5,scalar_normalized,middle,0.1462388728442273,0.0034292394706490013,3
0.5,scalar_normalized,high,0.0780322339208838,0.0009147013987191344,3
0.5,fourier_normalized,low,0.07054991328785591,0.002584529942485493,3
0.5,fourier_normalized,middle,0.19680200447408716,0.007688940791782931,3
0.5,fourier_normalized,high,0.09306632240901032,0.0033927659630936993,3
0.5,scalar_gate_s1p5_p4,low,0.013705129998081536,0.00019287326297218416,3
0.5,scalar_gate_s1p5_p4,middle,0.05039378756041681,0.0005331326151773783,3
0.5,scalar_gate_s1p5_p4,high,0.06300433578843274,0.0004370853861155383,3
0.5,fourier_gate_s1p5_p4,low,0.014137638602317655,0.0002732216078746783,3
0.5,fourier_gate_s1p5_p4,middle,0.05085479950249294,0.00043895094612310853,3
0.5,fourier_gate_s1p5_p4,high,0.06199556453983767,0.00035063116221055766,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01739207579910514,0.0005508389177069568,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.064316567556104,0.0017654692295550767,3
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.08612025519678079,0.0007602945403258981,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.01743843045780773,0.0004427196734877726,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.06478257557004792,0.0014232890095069834,3
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.0961149895388524,0.00015744663965090795,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.013372133073917642,0.00021587817040906454,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.04975878248256601,0.0004466493050567077,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06542472940320998,0.000270493526622442,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.014012266102966207,0.00026765362481244865,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.05034649986269188,0.00043304584750908777,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06563008942961063,0.00031964758880103625,3
1.0,score,low,0.0491496825970798,0.0018221508834482109,3
1.0,score,middle,0.0908633804110366,0.0012440794531059208,3
1.0,score,high,0.09442897672382489,0.0007405501500322586,3
1.0,scalar_gaussian,low,0.04475576560001233,0.0010900822963278672,3
1.0,scalar_gaussian,middle,0.10879284205738932,0.0014009635329056593,3
1.0,scalar_gaussian,high,0.07225212947946978,0.0006275158814938468,3
1.0,fourier_gaussian,low,0.11769767421927614,0.004797542291564714,3
1.0,fourier_gaussian,middle,0.19760762998178086,0.010999819996009543,3
1.0,fourier_gaussian,high,0.07116728350048164,0.003772436603303189,3
1.0,scalar_normalized,low,0.057551987677748634,0.0017696436482968398,3
1.0,scalar_normalized,middle,0.11575873773098315,0.0029334350345178585,3
1.0,scalar_normalized,high,0.06418691543002543,0.0002957976705583342,3
1.0,fourier_normalized,low,0.07844335988953083,0.003336878169865973,3
1.0,fourier_normalized,middle,0.12793990614563877,0.006441704152682246,3
1.0,fourier_normalized,high,0.0500103170812973,0.001924189196946631,3
1.0,scalar_gate_s1p5_p4,low,0.03535279641900987,0.0008527537574203767,3
1.0,scalar_gate_s1p5_p4,middle,0.07435372051623994,0.0006159859492353454,3
1.0,scalar_gate_s1p5_p4,high,0.06650394658709397,0.0005113434922191617,3
1.0,fourier_gate_s1p5_p4,low,0.03452956090806778,0.001073085338287725,3
1.0,fourier_gate_s1p5_p4,middle,0.07282693969634661,0.0009761423352240892,3
1.0,fourier_gate_s1p5_p4,high,0.05988480751183336,0.0004113283324654655,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.04172724929583458,0.0015893032838291646,3
