spectrum_lambda,seed,method,region,n,score_error
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009606824575569614
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04444549757625035
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06774789922521086
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009606823384729622
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.044445495704521415
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06774789704250243
0.0,42,score,low,6144,0.01429527281823735
0.0,42,score,middle,6144,0.05895307907899013
0.0,42,score,high,6144,0.08671986545553423
0.0,42,scalar_gaussian,low,6144,0.06726421738068111
0.0,42,scalar_gaussian,middle,6144,0.22853414681713322
0.0,42,scalar_gaussian,high,6144,0.1199535399864007
0.0,42,fourier_gaussian,low,6144,0.06726443892798639
0.0,42,fourier_gaussian,middle,6144,0.22853481061847636
0.0,42,fourier_gaussian,high,6144,0.11995371535350946
0.0,42,scalar_normalized,low,6144,0.05736741226688649
0.0,42,scalar_normalized,middle,6144,0.19343254905253293
0.0,42,scalar_normalized,high,6144,0.10490318768717162
0.0,42,fourier_normalized,low,6144,0.05736742988772775
0.0,42,fourier_normalized,middle,6144,0.1934326089992576
0.0,42,fourier_normalized,high,6144,0.1049032465568173
0.0,42,scalar_gate_s1p5_p4,low,6144,0.009616198762030655
0.0,42,scalar_gate_s1p5_p4,middle,6144,0.044917836639036875
0.0,42,scalar_gate_s1p5_p4,high,6144,0.0634891666415401
0.0,42,fourier_gate_s1p5_p4,low,6144,0.009616195057731971
0.0,42,fourier_gate_s1p5_p4,middle,6144,0.044917821009852255
0.0,42,fourier_gate_s1p5_p4,high,6144,0.06348915173268525
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014905369105816321
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.05973708312979329
0.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10715967000701247
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.014905368343524572
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.05973706757258448
0.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10715965161626421
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009455127798453642
