spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.12079870700836182,2048,0.0053191031785374985,0.364513689585008,0.03553862326135527,0.1496710533613016,0.9514308746472089,0.0052262929258519355,0.005248590121383563,0.005374405247174056,0.005287102050120594
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.17627345025539398,2048,0.008205034719301032,0.26406242832135646,0.07000884250313492,0.11719997683054992,0.9145898320144289,0.007913881592138768,0.00825536680403666,0.008196857491872373,0.008308198942925012
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.25722402334213257,2048,0.01529633582887031,0.23118750394676024,0.13173404109843279,0.11611528577826562,0.8221676722709922,0.015252859466476986,0.014940124236167725,0.015427931291909665,0.015456616001300315
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.37534967064857483,2048,0.02677538698228319,0.1900481638871622,0.213125635677522,0.12563193957012628,0.697147756955515,0.026890504053772118,0.026560785690129554,0.026921191763619675,0.026542128399124666
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,4,0.547722578048706,2048,0.042355476106478746,0.14118490976402742,0.28747105642861615,0.14733822817740372,0.5233830390736757,0.042346991122241384,0.04159952537219287,0.04272851304195989,0.04229485175796789
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,5,0.7992547750473022,2048,0.06420562963998913,0.10050846263200508,0.3078588288039079,0.2085554274647267,0.368623361493555,0.06446721512319448,0.0629189055254161,0.06455879127647415,0.06501364772628378
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,6,1.166298747062683,2048,0.09574149522272866,0.07038507659552934,0.2504852458243333,0.38222409031577337,0.26902910730792823,0.096339786715911,0.09575414570880317,0.09550581980285941,0.0962769506707788
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,7,1.7019013166427612,2048,0.08317142372608535,0.028714772991135697,0.130141564614389,0.639084246240033,0.2115595234229532,0.08188089653284884,0.08287514884914685,0.0834727934955724,0.08327658615215634
0.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,8,2.4834699630737305,2048,0.02433077872681861,0.0039449198662154595,0.03200909519553458,0.7601207899876178,0.13168560423264022,0.024021459633369553,0.02417278192282403,0.024423964529597466,0.024431470619782774
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.12079870700836182,2048,0.005319104632695267,0.364513789237223,0.03553862326135527,0.14967109427897468,0.9514308700932542,0.005226294297141902,0.00524859216189272,0.005374407080974095,0.005287101073709423
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.17627345025539398,2048,0.008205034154602955,0.26406241014769233,0.07000884250313492,0.11719996876445346,0.9145898297634532,0.007913877470758734,0.008255368611674937,0.00819685732194175,0.008308194645330776
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.25722402334213257,2048,0.015296331366890646,0.2311874365087834,0.13173404109843279,0.11611525190714447,0.8221676736288692,0.015252854041026043,0.01494012170255986,0.015427927907586639,0.015456604575218644
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.37534967064857483,2048,0.02677538198760974,0.19004812843562907,0.213125635677522,0.12563191613477823,0.6971477357741936,0.026890503245060517,0.02656078614217435,0.026921185059299708,0.02654211785452682
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,4,0.547722578048706,2048,0.04235547419244161,0.14118490338390413,0.28747105642861615,0.14733822151921294,0.5233830464228949,0.0423469832235935,0.041599522591810545,0.04272851265682551,0.042294848933028845
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,5,0.7992547750473022,2048,0.06420563093351289,0.10050846465690672,0.3078588288039079,0.208555431666405,0.36862336591585076,0.06446722473475712,0.06291891668054095,0.0645587880583024,0.06501364391112258
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,6,1.166298747062683,2048,0.09574149342187754,0.07038507527162016,0.2504852458243333,0.3822240831263235,0.2690291129408422,0.09633981612029478,0.09575413682869746,0.0955058180568543,0.09627694391183146
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,7,1.7019013166427612,2048,0.08317142037668035,0.02871477183476011,0.130141564614389,0.6390842205034053,0.2115595192210089,0.08188090349803007,0.08287513767515092,0.08347279074054087,0.08327658873739877
0.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,8,2.4834699630737305,2048,0.024330777328949414,0.003944919639569119,0.03200909519553458,0.7601207463166179,0.1316856030763345,0.024021455218415977,0.024172781002292407,0.02442396325690168,0.02443146957659415
0.0,42,score,0,0.12079870700836182,2048,0.006567632068023948,0.45007432956216126,0.03553862326135527,0.18480265877844507,0.9532267815572952,0.006530250012309065,0.006627087659899859,0.006519505616136345,0.006664512087217096
0.0,42,score,1,0.17627345025539398,2048,0.012102979329357904,0.3895098827693547,0.07000884250313492,0.17287786651830367,0.918002135284029,0.011913491753982932,0.012208182667718143,0.012026713331766945,0.012309338038380545
0.0,42,score,2,0.25722402334213257,2048,0.0242152070573302,0.3659865565040744,0.13173404109843279,0.18381890402372453,0.8313148936589307,0.024475413011675832,0.024201135957817622,0.024065512269428196,0.02466117712501254
0.0,42,score,3,0.37534967064857483,2048,0.0416266647454843,0.295460573879301,0.213125635677522,0.19531514645412784,0.7124097847812365,0.04236159863324024,0.042462178626864196,0.041236725873370184,0.04120611253559793
0.0,42,score,4,0.547722578048706,2048,0.06191690371739702,0.20638966357579266,0.28747105642861615,0.21538482686437693,0.5430232113994722,0.0634178408652423,0.0613150217543252,0.06191352416820699,0.06216582931099527
0.0,42,score,5,0.7992547750473022,2048,0.07331566877408909,0.1147694555234369,0.3078588288039079,0.2381470398589343,0.3777954041740391,0.07585652673040655,0.07294132653835769,0.07288925163320754,0.07418048752743217
0.0,42,score,6,1.166298747062683,2048,0.0833179020915094,0.06125177914599282,0.2504852458243333,0.3326259868812421,0.25618108549731144,0.08449704249124439,0.08302628857761025,0.08299245001194097,0.08441073375029141
0.0,42,score,7,1.7019013166427612,2048,0.07928232754900959,0.02737207006671288,0.130141564614389,0.6092006637842726,0.20696450185949464,0.07894973414623219,0.08056916813855095,0.07847355195002041,0.08023475954310488
