spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,score,-0.012885701917312135,0.0001891851740094197,-24.125839560412054,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gaussian,-0.09292231078498421,0.004787613615302746,-69.6323787501597,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gaussian,-0.0929226725753169,0.004787752374854103,-69.63246108009709,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.08501242371348057,0.006132033553292283,-67.71896465509046,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.0850124601561899,0.006132028664655601,-67.7189740260896,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,0.0013578417473532496,8.924787014037098e-05,3.4668152209652137,0,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,0.0013578450088411187,8.924125863061383e-05,3.4668238368210424,0,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.020606656075565104,0.0005489798786292819,-33.70882918812359,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.020606646732905614,0.0005489820739062271,-33.708819056887826,3,3
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,9.588889867314284e-12,1.5664285556399282e-09,2.3661850256928574e-08,2,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,score,-0.012885701926901026,0.00018918376306020885,-24.125839578365294,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gaussian,-0.0929223107945731,0.004787615167502812,-69.63237875734524,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gaussian,-0.09292267258490579,0.0047877539270394865,-69.6324610872826,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.08501242372306946,0.006132032098413099,-67.71896466272875,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.08501246016577879,0.006132027209779206,-67.71897403372789,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,0.0013578417377643596,8.924943651644568e-05,3.466815196483042,0,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,0.001357844999252229,8.924282500632288e-05,3.4668238123388706,0,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.020606656085153992,0.0005489783124762278,-33.70882920380932,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.020606646742494506,0.0005489805077532042,-33.70881907257356,3,3
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-9.588889867314284e-12,1.5664285556399282e-09,-2.366186135915882e-08,1,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,score,-0.016201387321505355,0.0008983998604910849,-27.43520824975233,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gaussian,-0.043182241251588684,0.0034461545520299165,-50.191993355196374,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gaussian,-0.08605681963742674,0.0035764655493158745,-66.75796030509177,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.04974505653280318,0.002128210768004989,-53.72213974598332,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.07728753173708659,0.004416461199940567,-64.33153746638428,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,0.0004841305375875131,0.0001646121382215674,1.1426864179457263,0,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,0.0005225474383484552,0.00038506423698151076,1.2344806457284863,0,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.013091084530765433,0.0011312685150403178,-23.40076943312016,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.016593450202338142,0.0009337481945150406,-27.91379858498263,3,3
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0004777368118583554,0.00030573311198291907,-1.1025640861418329,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,score,-0.015723650509647,0.000700160833250214,-26.626215250460906,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gaussian,-0.04270450443973032,0.003497928577437756,-49.63670576031164,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gaussian,-0.0855790828255684,0.003674677842149369,-66.38735940144821,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.04926731972094483,0.002130448238303198,-53.20620820308657,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.07680979492522823,0.00472139388343061,-63.93388543997871,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,0.0009618673494458685,0.00019416211749199725,2.270281816045494,0,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,0.0010002842502068107,8.223674323661543e-05,2.3630994173660325,0,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.012613347718907077,0.0011442742066098636,-22.54679824702488,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.016115713390479788,0.0008544061838806704,-27.110141179184843,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.0004777368118583554,0.00030573311198291907,1.114856088991223,0,3
