spectrum_lambda,method,n_seeds,score_error_mean,score_error_sd,unweighted_score_error_mean,unweighted_score_error_sd
0.0,score,3,0.05341037722250382,7.878130799085765e-05,0.21315483967510496,0.0011117812701511738
0.0,scalar_gaussian,3,0.13344698609017588,0.004907724254728069,0.8986154549275581,0.033857598103907385
0.0,fourier_gaussian,3,0.13344734788050858,0.004907870346511644,0.8986187288490766,0.03385865461934087
0.0,scalar_normalized,3,0.12553709901867227,0.006083772351826849,0.8499581333222409,0.044483128009939366
0.0,fourier_normalized,3,0.1255371354613816,0.006083768204877402,0.8499584299525659,0.04448315847253039
0.0,scalar_gate_s1p5_p4,3,0.03916683355783843,0.0002290437275478561,0.15141307966579926,0.0016556050062394953
0.0,fourier_gate_s1p5_p4,3,0.03916683029635056,0.00022903950075066514,0.15141308087674019,0.0016555786728978791
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06113133138075679,0.0004597468009864906,0.2506386245506633,0.009689263599045244
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.0611313220380973,0.00045974876553025405,0.250638620915614,0.009689274657372156
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04052467530519169,0.00016088704102744565,0.15365873081925696,0.0012614538306138948
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.040524675295602795,0.0001608860356672224,0.15365874626484674,0.0012614437989262634
0.5,score,3,0.05905326897473657,0.0006247805057843328,0.293772184245338,0.006263790629812412
0.5,scalar_gaussian,3,0.08603412290481989,0.0032008148489497366,0.625923581640493,0.028861305843468715
0.5,fourier_gaussian,3,0.12890870129065798,0.003363691542665883,1.0084187871729378,0.024120532522959464
0.5,scalar_normalized,3,0.09259693818603439,0.0018540922166902353,0.7229488289450359,0.01633524671608072
0.5,fourier_normalized,3,0.12013941339031779,0.0045436028450752,0.9465271867151971,0.035978135151921616
0.5,scalar_gate_s1p5_p4,3,0.0423677511156437,0.0003631349799384494,0.20137746842187995,0.003378480972791193
0.5,fourier_gate_s1p5_p4,3,0.042329334214882754,0.0003468918593857857,0.2064498819265391,0.003933786316676432
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05594296618399664,0.0008574474885238945,0.2660630510033424,0.007889902199079497
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.059445331855569356,0.0006308930352114064,0.2709912805195995,0.00584944197467508
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04285188165323121,0.0003034468920870946,0.19971043036010824,0.003918891224046515
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.043329618465089564,0.0003170134285526572,0.20780188521424567,0.0037147212561763868
1.0,score,3,0.07814734657731376,0.0012042418021540556,0.6732546149538442,0.02228646399224507
1.0,scalar_gaussian,3,0.07526691237895713,0.0008796189201988544,0.6228046191527717,0.011627151748206934
1.0,fourier_gaussian,3,0.1288241959005129,0.006518711044241173,1.5136585371447044,0.060347199005297156
1.0,scalar_normalized,3,0.07916588027958572,0.0016350709706332792,0.7831020660959714,0.020900393814804793
1.0,fourier_normalized,3,0.08546452770548896,0.003888941992733014,1.0201991123167256,0.04236009542938593
1.0,scalar_gate_s1p5_p4,3,0.058736821174114585,0.0006444776508621316,0.4915056552360559,0.010817936852013085
1.0,fourier_gate_s1p5_p4,3,0.055747102705415906,0.0007606906690617456,0.4806681664975332,0.013345785728425664
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06925949286806304,0.0015365595802996606,0.588346376173345,0.020346396392923242
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06254737605748341,0.00029419452523484353,0.4281677652087394,0.0034075205995444664
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.05815156132174546,0.0008457207751787385,0.474037574971323,0.013720539689884933
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.0535374945668248,0.0005849588815723312,0.436063700383493,0.009469987460732672
