spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.6000000238418579,1024,0.07790348289016179,0.21639854638597109,0.2487359788356549,0.31319748455704616,0.3942617601233851,0.1120233655434004,0.11782455376347487,0.06374040188342159,0.04148217255571347
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.800000011920929,1024,0.09724083751765447,0.15193880409320584,0.2204068911372617,0.44118782773037835,0.329476537243334,0.17647259448081482,0.1553707409918981,0.07114120871405834,0.048479741841939955
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,1.0,1024,0.1105950142035184,0.1105950142035184,0.18655748318132864,0.5928200376503961,0.28500643918397134,0.2210943571598259,0.18214836524357741,0.07665365953675086,0.050223428342142266
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,1.0594631433486938,1024,0.11390969553738337,0.10148199235298981,0.17966885811214628,0.6339979934991452,0.2731681402326774,0.2345092881102059,0.18506705737633683,0.07916385199223584,0.051670020898233214
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,4,1.1224620342254639,1024,0.10754132567691031,0.08535560889676218,0.16478983591935376,0.6525968369162027,0.2635335341677309,0.225545754192943,0.17736973272668088,0.07344571305994135,0.046649567188071735
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,5,1.1892070770263672,1024,0.1069629869814922,0.07563425826121747,0.15502431360219943,0.6899755560664173,0.25392981172526363,0.24052544294273037,0.1745170353905046,0.07213783139221899,0.04422723539092565
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,6,1.2599210739135742,1024,0.10380720034817262,0.0653944359313445,0.1435283591534027,0.7232521918349515,0.24147202162437542,0.2419617895813347,0.17285073900105877,0.06776983691910951,0.04045173278996786
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,7,1.3348398208618164,1024,0.10003198574975669,0.056141056612335045,0.12872578033494197,0.7770936442527318,0.2374725436773689,0.25434311322791253,0.16155910393617187,0.06483358054750452,0.03789379113899585
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,8,1.4142135381698608,1024,0.09339919929589652,0.04669960124640751,0.11574789917338583,0.8069191748870376,0.22612568819910597,0.25911135547639363,0.15261091145994707,0.05707574438136271,0.03329356502554712
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,9,1.4983071088790894,1024,0.08760451048892204,0.03902337138194239,0.10213604822374311,0.8577237127582248,0.21412888189226503,0.2629206749644729,0.13971724616899206,0.052281903710159394,0.031002736846594863
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,10,1.587401032447815,1024,0.08042466646036996,0.03191655082080593,0.08923298266626312,0.9012885600962504,0.20480988465532324,0.2517423804659873,0.12555582913210248,0.04772346786354692,0.028552841962167348
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,11,1.6817928552627563,1024,0.07314477431315848,0.025860582201281828,0.07698999767159165,0.9500555465031271,0.19342451690203205,0.2406242035490626,0.11269100940932217,0.04260186260833412,0.025180562118257227
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,12,1.7817974090576172,1024,0.06339231170727111,0.019967327590510713,0.06426913678089384,0.9863569806980292,0.18377038348945007,0.21700001046226483,0.09656178186696673,0.03620725399189562,0.021785861262012072
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,13,1.8877485990524292,1024,0.056508549322039595,0.015857175946778476,0.05339679810560009,1.0582759889513516,0.1726860062292657,0.20063280777333975,0.08385189173997959,0.03205067018052813,0.02022556264068957
