model,parameterization,effective_batch,microbatch,seconds_100_updates,steady_seconds_per_update,paper_updates,projected_days,peak_allocated_gib
ffhq,epsilon,42,4,384.44812196705607,3.821415787355929,635000,28.08563686309045,7.108555793762207
ffhq,scalar_gaussian,42,4,397.71828489599284,3.986930972688424,635000,29.302096847883675,7.103971004486084
ffhq,fourier_gaussian_unscaled,42,4,400.2985256600514,3.984308879622808,635000,29.28282567778337,7.104016304016113
ffhq,fourier_gaussian,42,4,388.5827569140092,3.8973046192558183,635000,28.643384643836164,7.104016304016113
celebahq,epsilon,48,4,442.772547451008,4.426610722044684,410000,21.005907361554634,7.1088151931762695
celebahq,scalar_gaussian,48,4,428.69318827697134,4.28970922253308,410000,20.356259042112995,7.106229305267334
celebahq,fourier_gaussian_unscaled,48,4,441.67776168901764,4.408143336956144,410000,20.918272779537258,7.106274604797363
celebahq,fourier_gaussian,48,4,447.35222711203096,4.497849041011553,410000,21.34395956961501,7.106274604797363
lsun_churches,epsilon,96,4,357.8163505168486,3.5721062113873714,500000,20.67191094552877,6.601517200469971
lsun_churches,scalar_gaussian,96,4,358.17380919696006,3.58386652091075,500000,20.73996829230758,6.602967262268066
lsun_churches,fourier_gaussian_unscaled,96,4,359.25559563904244,3.5920700712671128,500000,20.78744254205505,6.602982044219971
lsun_churches,fourier_gaussian,96,4,383.0741915360268,3.8525588220669307,500000,22.294900590665108,6.602982044219971
lsun_bedrooms,epsilon,48,4,449.0733784290205,4.487176907433928,1900000,98.67634402921833,7.1088151931762695
lsun_bedrooms,scalar_gaussian,48,4,453.919654420999,4.543736183144372,1900000,99.92012439785077,7.106229305267334
lsun_bedrooms,fourier_gaussian_unscaled,48,4,443.556216732919,4.412964359910176,1900000,97.0443551369136,7.106274604797363
lsun_bedrooms,fourier_gaussian,48,4,442.9618418319733,4.442312249488734,1900000,97.68973696792354,7.106274604797363
